# Sensibilite C-weights -- 10 EMS 25 ans | DELTA={'bat': 0.3, 'fc': 0.3, 'ely': 0.3} | N_MC=5000 | CI=95%
# couts de remplacement nominaux [EUR]: bat=6998 fc=1183 ely=9339
# LPSP INVARIANT aux poids ; cout lineaire -> bande verticale

strat;LPSP_%;cout_nominal;cost_bat;cost_fc;cost_ely;cout_mean;cout_std;cout_lo95;cout_hi95
0-100;10.3787;124.224;16.057;22.886;85.281;124.564;15.601;97.288;151.490
25-75;20.2640;110.776;18.276;16.134;76.367;111.062;13.935;86.719;135.070
50-50;8.0738;109.022;41.080;9.743;58.200;109.186;12.562;85.544;132.418
75-25;3.8028;59.671;45.967;2.904;10.801;59.638;8.239;45.523;73.857
100-0;2.4862;66.416;48.758;3.867;13.791;66.392;8.860;51.000;81.863
RB2;2.7126;65.167;44.635;2.346;18.186;65.161;8.417;50.148;80.361
RB2(SoH);2.6493;58.529;45.034;2.352;11.144;58.498;8.089;44.587;72.550
RB1;1.2596;80.161;46.197;4.268;29.696;80.198;9.627;62.227;98.160
SoC1;1.3398;140.685;33.204;22.627;84.854;140.993;16.381;111.030;170.068
SoC06;29.4607;109.266;11.062;20.490;77.713;109.581;14.087;85.056;133.750
