# Sensibilite C-weights -- 10 EMS 25 ans | DELTA={'bat': 0.3, 'fc': 0.3, 'ely': 0.3} | N_MC=200 | CI=95%
# couts de remplacement nominaux [EUR]: bat=6998 fc=1183 ely=9339
# LPSP INVARIANT aux poids ; cout lineaire -> bande verticale

strat;LPSP_%;cout_nominal;cost_bat;cost_fc;cost_ely;cout_mean;cout_std;cout_lo95;cout_hi95
0-100;10.3787;124.224;16.057;22.886;85.281;124.996;14.365;100.484;149.730
25-75;20.2640;110.776;18.276;16.134;76.367;111.461;12.792;89.865;133.460
50-50;8.0738;109.022;41.080;9.743;58.200;109.584;11.648;87.779;130.476
75-25;3.8028;59.671;45.967;2.904;10.801;59.847;8.176;46.336;73.525
100-0;2.4862;66.416;48.758;3.867;13.791;66.624;8.753;52.326;81.544
RB2;2.7126;65.167;44.635;2.346;18.186;65.396;8.244;51.130;79.640
RB2(SoH);2.6493;58.529;45.034;2.352;11.144;58.704;8.024;45.586;72.114
RB1;1.2596;80.161;46.197;4.268;29.696;80.489;9.248;63.434;97.489
SoC1;1.3398;140.685;33.204;22.627;84.854;141.483;15.056;114.294;168.122
SoC06;29.4607;109.266;11.062;20.490;77.713;109.962;12.988;86.981;132.613
