Etude de robustesse -- LPSP sur la semaine de panne
N_DRAWS=200  SEED=0  YEARS=2
surcout = LPSP_panne - LPSP_normale (meme semaine, meme strategie) >= 0

### PEMFC totale (FC_total)
  strategie  LPSP_moy  LPSP_med  LPSP_p90  LPSP_max  LPSP_norm  surcout  %>0  ENS_moy[kWh]
  RB1          2.569     1.020     7.768    15.740     0.743    1.827   79.0       21.97
  SoC1         2.622     1.058     7.824    16.690     0.838    1.784   77.5       22.39
  SoC06        3.005     1.456     8.111    16.839     1.050    1.954   82.0       25.71
  100-0        3.351     2.326     8.445    16.143     1.816    1.535   98.0       28.76
  25-75        3.483     1.970     9.874    17.522     1.451    2.032   81.0       29.85
  50-50        3.706     2.104     9.478    18.171     2.044    1.662   81.0       31.72
  RB2          4.021     2.621    10.400    19.094     2.576    1.444   82.5       34.49
  75-25        4.909     3.394    12.716    20.751     3.783    1.126   89.5       42.07
  0-100        5.402     4.512    11.309    21.667     3.996    1.406   86.0       46.64

### PEMFC 50% (FC_50)
  strategie  LPSP_moy  LPSP_med  LPSP_p90  LPSP_max  LPSP_norm  surcout  %>0  ENS_moy[kWh]
  SoC1         1.159     0.000     3.920     9.643     0.838    0.321   38.5        9.84
  RB1          1.187     0.000     4.376     8.999     0.743    0.444   46.5       10.12
  SoC06        1.616     0.398     5.326    10.144     1.050    0.566   67.0       13.78
  25-75        2.165     0.708     6.707    13.009     1.451    0.713   62.0       18.42
  50-50        2.401     1.184     7.615    13.247     2.044    0.358   61.5       20.49
  100-0        2.477     1.659     6.172    11.041     1.816    0.661   98.0       21.28
  RB2          2.587     1.739     8.898    12.768     2.576    0.011   64.0       22.19
  75-25        3.872     2.915    11.999    17.193     3.783    0.089   78.5       33.12
  0-100        4.570     3.187    10.977    16.815     3.996    0.574   81.5       39.32

### PEMWE totale (ELY_total)
  strategie  LPSP_moy  LPSP_med  LPSP_p90  LPSP_max  LPSP_norm  surcout  %>0  ENS_moy[kWh]
  RB1          1.424     0.125     5.438    12.336     0.743    0.681   55.0       12.22
  100-0        1.869     1.392     5.308     9.291     1.816    0.053   98.0       16.08
  SoC06        2.108     0.662     7.003    12.815     1.050    1.058   64.0       18.02
  SoC1         2.395     0.845     7.533    12.834     0.838    1.557   67.5       20.35
  25-75        2.728     1.024     8.512    14.533     1.451    1.277   71.0       23.25
  50-50        3.151     1.529     9.817    14.746     2.044    1.108   67.5       27.01
  RB2          3.261     1.978     9.484    12.636     2.576    0.684   66.5       28.13
  75-25        3.789     2.569    11.910    15.790     3.783    0.006   77.0       32.48
  0-100        7.652     7.558    14.465    24.246     3.996    3.656   95.0       65.80

### PEMWE 50% (ELY_50)
  strategie  LPSP_moy  LPSP_med  LPSP_p90  LPSP_max  LPSP_norm  surcout  %>0  ENS_moy[kWh]
  RB1          0.743     0.000     3.815     6.500     0.743    0.000   40.5        6.33
  SoC06        1.049     0.000     4.804     7.947     1.050   -0.001   39.0        8.86
  SoC1         1.120     0.000     3.890     8.837     0.838    0.282   40.5        9.59
  25-75        1.456     0.112     5.629     9.595     1.451    0.004   51.5       12.34
  100-0        1.816     1.395     5.300     7.065     1.816    0.000   98.0       15.62
  50-50        2.044     1.021     7.175    11.440     2.044    0.000   54.5       17.45
  RB2          2.576     1.739     8.898    12.636     2.576    0.000   64.0       22.10
  75-25        3.783     2.757    11.990    16.607     3.783    0.000   76.0       32.36
  0-100        4.442     3.017     9.781    17.649     3.996    0.446   74.5       38.67

