Sweep RB1 (SoC_low, SoC_high) -- metrique DEFAILLANCE
N_DRAWS=200  SEED=0  EVAL_HOURS=672  MIN_GAP=0.15  TOL_NOM=0.02
score = moyenne des LPSP-panne moyennes sur les 4 scenarios [%]
feasible = LPSP_nom <= LPSP_nom(RB1 0.20/0.60)=1.053% + 0.02
reference RB1(0.20,0.60) : score=1.669  LPSP_nom=1.053

  a      b      score    LPSP_nom  feas  FC_total   FC_50      ELY_total  ELY_50   
  0.400  0.750    1.481    0.743    ok        2.569      1.187      1.424      0.743
  0.400  0.850    1.481    0.716    ok        2.544      1.137      1.528      0.716
  0.450  0.750    1.485    0.722    ok        2.554      1.165      1.500      0.722
  0.350  0.850    1.486    0.743    ok        2.566      1.164      1.473      0.743
  0.450  0.800    1.487    0.710    ok        2.544      1.142      1.551      0.711
  0.350  0.800    1.489    0.759    ok        2.580      1.192      1.425      0.759
  0.400  0.800    1.490    0.740    ok        2.567      1.171      1.482      0.740
  0.300  0.850    1.490    0.765    ok        2.583      1.187      1.425      0.765
  0.450  0.700    1.490    0.735    ok        2.566      1.192      1.468      0.735
  0.350  0.900    1.493    0.732    ok        2.556      1.142      1.540      0.733
  0.300  0.900    1.495    0.756    ok        2.573      1.165      1.487      0.756
  0.400  0.700    1.496    0.769    ok        2.591      1.225      1.398      0.769
  0.250  0.900    1.499    0.776    ok        2.590      1.188      1.443      0.776
  0.350  0.750    1.503    0.788    ok        2.604      1.230      1.389      0.788
  0.450  0.850    1.504    0.715    ok        2.544      1.133      1.621      0.721
  0.400  0.650    1.505    0.787    ok        2.607      1.259      1.367      0.787
  0.400  0.900    1.506    0.722    ok        2.549      1.132      1.615      0.727
  0.450  0.650    1.510    0.766    ok        2.590      1.233      1.450      0.766
  0.250  0.850    1.510    0.804    ok        2.613      1.225      1.397      0.804
  0.350  0.700    1.511    0.810    ok        2.621      1.265      1.349      0.810
  0.300  0.800    1.514    0.807    ok        2.616      1.235      1.396      0.807
  0.300  0.750    1.517    0.826    ok        2.631      1.267      1.345      0.826
  0.450  0.900    1.522    0.714    ok        2.543      1.122      1.692      0.731
  0.200  0.900    1.526    0.821    ok        2.624      1.231      1.427      0.821
  0.250  0.800    1.530    0.844    ok        2.643      1.270      1.365      0.844
  0.400  0.600    1.532    0.824    ok        2.641      1.311      1.351      0.824
  0.450  0.600    1.533    0.791    ok        2.617      1.278      1.445      0.791
  0.350  0.650    1.534    0.847    ok        2.652      1.313      1.323      0.847
  0.200  0.850    1.536    0.851    ok        2.647      1.267      1.380      0.851
  0.300  0.700    1.542    0.868    ok        2.663      1.317      1.321      0.868
  0.250  0.750    1.547    0.877    ok        2.668      1.314      1.327      0.877
  0.200  0.800    1.558    0.891    ok        2.678      1.315      1.349      0.891
  0.350  0.600    1.558    0.883    ok        2.684      1.366      1.301      0.883
  0.150  0.900    1.561    0.875    ok        2.670      1.282      1.417      0.875
  0.300  0.650    1.563    0.901    ok        2.691      1.364      1.295      0.901
  0.400  0.550    1.563    0.860    ok        2.674      1.372      1.347      0.860
  0.150  0.850    1.569    0.903    ok        2.690      1.316      1.367      0.903
  0.250  0.700    1.572    0.919    ok        2.700      1.364      1.306      0.919
  0.200  0.750    1.573    0.922    ok        2.702      1.357      1.310      0.922
  0.300  0.600    1.591    0.940    ok        2.724      1.418      1.281      0.940
  0.350  0.550    1.591    0.925    ok        2.720      1.430      1.291      0.925
  0.150  0.800    1.599    0.952    ok        2.727      1.373      1.345      0.952
  0.250  0.650    1.603    0.961    ok        2.737      1.421      1.293      0.961
  0.100  0.900    1.603    0.937    ok        2.719      1.339      1.417      0.937
  0.200  0.700    1.605    0.967    ok        2.737      1.412      1.303      0.967
  0.150  0.750    1.622    0.989    ok        2.756      1.421      1.320      0.989
  0.300  0.550    1.625    0.981    ok        2.758      1.482      1.276      0.981
  0.100  0.850    1.628    0.985    ok        2.755      1.392      1.383      0.985
  0.200  0.650    1.632    1.004    ok        2.767      1.463      1.292      1.004
  0.350  0.500    1.635    0.974    ok        2.763      1.509      1.295      0.974
  0.250  0.600    1.638    1.007    ok        2.774      1.481      1.291      1.007
  0.200  0.600    1.669    1.053    ok        2.806      1.527      1.289      1.053
  0.100  0.800    1.670    1.047    ok        2.800      1.457      1.378      1.047
  0.150  0.700    1.671    1.055    ok        2.805      1.492      1.330      1.055
  0.250  0.550    1.672    1.048    ok        2.809      1.547      1.283      1.048
  0.300  0.500    1.674    1.036    ok        2.809      1.569      1.282      1.036
  0.200  0.550    1.709    1.100     -        2.847      1.598      1.290      1.100
  0.150  0.650    1.721    1.118     -        2.857      1.566      1.343      1.118
  0.100  0.750    1.725    1.122     -        2.857      1.535      1.387      1.122
  0.250  0.500    1.727    1.111     -        2.863      1.637      1.297      1.111
  0.200  0.500    1.777    1.175     -        2.909      1.698      1.326      1.175
  0.100  0.700    1.783    1.196     -        2.912      1.614      1.410      1.196
  0.150  0.600    1.789    1.201     -        2.921      1.657      1.375      1.201
  0.100  0.650    1.853    1.283     -        2.978      1.702      1.447      1.283
  0.150  0.550    1.868    1.291     -        2.994      1.763      1.423      1.291
  0.100  0.600    1.942    1.389     -        3.059      1.811      1.509      1.389
  0.150  0.500    1.968    1.403     -        3.082      1.890      1.498      1.403
  0.100  0.550    2.073    1.537     -        3.174      1.960      1.621      1.537
  0.100  0.500    2.278    1.770     -        3.352      2.179      1.812      1.770

=== MEILLEUR (feasible, score min) ===
  SoC_low=0.400  SoC_high=0.750  |  score=1.481%  LPSP_nom=0.743%
  gain score vs RB1(0.20,0.60) : -0.188 pts (-11.3%)
