# bench_fable (sweep_fable_rho) : 25 ans ; VoLL=3.0 ; N=32 graines ; seeds communes (CRN) ; base=RB2 socle
label ; N ; LPSP(%) ; sLPSP ; deg(kEUR) ; sdeg ; total(kEUR) ; stotal ; dtotal_vs_base(kEUR) ; ELY_starts
RB2 socle ; 32 ; 2.5921 ; 0.0000 ; 58.843 ; 0.000 ; 80.102 ; 0.000 ; +0.000 ; 9199
Pred hyst rho=0.00 ; 32 ; 2.5325 ; 0.0162 ; 58.960 ; 0.014 ; 79.730 ; 0.130 ; -0.372 ; 9018
Proba rho=0.00 ; 32 ; 2.5350 ; 0.0110 ; 59.216 ; 0.018 ; 80.006 ; 0.085 ; -0.096 ; 9365
Prop rho=0.00 ; 32 ; 2.9725 ; 0.0119 ; 58.974 ; 0.020 ; 83.353 ; 0.091 ; +3.250 ; 10043
Pred hyst rho=0.50 ; 32 ; 2.5330 ; 0.0111 ; 58.951 ; 0.015 ; 79.726 ; 0.091 ; -0.377 ; 9019
Proba rho=0.50 ; 32 ; 2.5491 ; 0.0122 ; 59.127 ; 0.016 ; 80.033 ; 0.101 ; -0.069 ; 9265
Prop rho=0.50 ; 32 ; 2.9720 ; 0.0139 ; 58.868 ; 0.025 ; 83.243 ; 0.104 ; +3.140 ; 9871
Pred hyst rho=0.80 ; 32 ; 2.5390 ; 0.0135 ; 58.937 ; 0.013 ; 79.761 ; 0.106 ; -0.341 ; 9033
Proba rho=0.80 ; 32 ; 2.5504 ; 0.0181 ; 59.050 ; 0.018 ; 79.966 ; 0.140 ; -0.136 ; 9173
Prop rho=0.80 ; 32 ; 2.9808 ; 0.0127 ; 58.779 ; 0.020 ; 83.226 ; 0.106 ; +3.124 ; 9767
Pred hyst rho=0.95 ; 32 ; 2.5608 ; 0.0142 ; 58.912 ; 0.015 ; 79.914 ; 0.114 ; -0.188 ; 9047
Proba rho=0.95 ; 32 ; 2.5601 ; 0.0145 ; 58.997 ; 0.016 ; 79.993 ; 0.112 ; -0.109 ; 9139
Prop rho=0.95 ; 32 ; 2.9806 ; 0.0199 ; 58.726 ; 0.025 ; 83.171 ; 0.162 ; +3.069 ; 9704
