# Balayage RB2(RUL) -- (RUL_ELY_REF, EXP_ELY), horizon 25 ans, VoLL=3.0 EUR/kWh
# Reference RB2 nu (EXP_ELY=0) : LPSP=2.521%  deg=60.58 kEUR  total=81.26 kEUR
#
RUL_ref[j] ; EXP ; LPSP[%] ; dLPSP[pts] ; deg[kEUR] ; ddeg[%] ; total[kEUR] ; dtotal[%]
      500 ; 0.00 ;   2.521 ;    +0.00 ;    60.58 ;   +0.0 ;     81.26 ;    +0.0
      500 ; 0.05 ;   2.521 ;    +0.00 ;    60.46 ;   -0.2 ;     81.14 ;    -0.2
      750 ; 0.05 ;   2.533 ;    +0.01 ;    60.41 ;   -0.3 ;     81.19 ;    -0.1
     1000 ; 0.05 ;   2.542 ;    +0.02 ;    60.37 ;   -0.4 ;     81.21 ;    -0.1
     1500 ; 0.05 ;   2.564 ;    +0.04 ;    60.26 ;   -0.5 ;     81.29 ;    +0.0
     2000 ; 0.05 ;   2.563 ;    +0.04 ;    60.13 ;   -0.7 ;     81.15 ;    -0.1
      500 ; 0.10 ;   2.584 ;    +0.06 ;    60.27 ;   -0.5 ;     81.46 ;    +0.3
      750 ; 0.10 ;   2.598 ;    +0.08 ;    60.08 ;   -0.8 ;     81.39 ;    +0.2
     1000 ; 0.10 ;   2.576 ;    +0.06 ;    59.92 ;   -1.1 ;     81.04 ;    -0.3
     1500 ; 0.10 ;   2.635 ;    +0.11 ;    59.66 ;   -1.5 ;     81.27 ;    +0.0
     2000 ; 0.10 ;   2.654 ;    +0.13 ;    59.36 ;   -2.0 ;     81.12 ;    -0.2
      500 ; 0.20 ;   2.641 ;    +0.12 ;    59.91 ;   -1.1 ;     81.57 ;    +0.4
      750 ; 0.20 ;   2.691 ;    +0.17 ;    59.64 ;   -1.5 ;     81.71 ;    +0.6
     1000 ; 0.20 ;   2.759 ;    +0.24 ;    59.34 ;   -2.1 ;     81.96 ;    +0.9
     1500 ; 0.20 ;   2.858 ;    +0.34 ;    58.85 ;   -2.9 ;     82.29 ;    +1.3
     2000 ; 0.20 ;   2.975 ;    +0.45 ;    58.45 ;   -3.5 ;     82.85 ;    +2.0
      500 ; 0.50 ;   2.812 ;    +0.29 ;    59.61 ;   -1.6 ;     82.68 ;    +1.8
      750 ; 0.50 ;   2.978 ;    +0.46 ;    59.22 ;   -2.2 ;     83.65 ;    +2.9
     1000 ; 0.50 ;   3.115 ;    +0.59 ;    58.84 ;   -2.9 ;     84.39 ;    +3.9
     1500 ; 0.50 ;   3.428 ;    +0.91 ;    58.30 ;   -3.8 ;     86.42 ;    +6.3
     2000 ; 0.50 ;   3.570 ;    +1.05 ;    57.86 ;   -4.5 ;     87.14 ;    +7.2
      500 ; 1.00 ;   2.962 ;    +0.44 ;    59.54 ;   -1.7 ;     83.83 ;    +3.2
      750 ; 1.00 ;   3.201 ;    +0.68 ;    59.16 ;   -2.4 ;     85.41 ;    +5.1
     1000 ; 1.00 ;   3.518 ;    +1.00 ;    58.81 ;   -2.9 ;     87.66 ;    +7.9
     1500 ; 1.00 ;   3.811 ;    +1.29 ;    58.26 ;   -3.8 ;     89.52 ;   +10.2
     2000 ; 1.00 ;   4.134 ;    +1.61 ;    57.87 ;   -4.5 ;     91.77 ;   +12.9
