# Balayage RB2(RUL) -- (RUL_ELY_REF, EXP_ELY), horizon 25 ans, VoLL=3.0 EUR/kWh
# Reference RB2 nu (EXP_ELY=0) : LPSP=2.592%  deg=58.84 kEUR  total=80.10 kEUR
#
RUL_ref[j] ; EXP ; LPSP[%] ; dLPSP[pts] ; deg[kEUR] ; ddeg[%] ; total[kEUR] ; dtotal[%]
     3000 ; 0.00 ;   2.592 ;    +0.00 ;    58.84 ;   +0.0 ;     80.10 ;    +0.0
     3000 ; 0.10 ;   2.886 ;    +0.29 ;    57.85 ;   -1.7 ;     81.52 ;    +1.8
     5000 ; 0.10 ;   3.052 ;    +0.46 ;    57.16 ;   -2.9 ;     82.18 ;    +2.6
     7000 ; 0.10 ;   3.118 ;    +0.53 ;    56.48 ;   -4.0 ;     82.05 ;    +2.4
     9000 ; 0.10 ;   3.005 ;    +0.41 ;    55.82 ;   -5.1 ;     80.46 ;    +0.4
     3000 ; 0.20 ;   3.325 ;    +0.73 ;    57.09 ;   -3.0 ;     84.36 ;    +5.3
     5000 ; 0.20 ;   3.289 ;    +0.70 ;    56.06 ;   -4.7 ;     83.04 ;    +3.7
     7000 ; 0.20 ;   3.138 ;    +0.55 ;    55.19 ;   -6.2 ;     80.92 ;    +1.0
     9000 ; 0.20 ;   3.072 ;    +0.48 ;    54.50 ;   -7.4 ;     79.70 ;    -0.5
     3000 ; 0.30 ;   3.569 ;    +0.98 ;    56.82 ;   -3.4 ;     86.10 ;    +7.5
     5000 ; 0.30 ;   3.399 ;    +0.81 ;    55.68 ;   -5.4 ;     83.56 ;    +4.3
     7000 ; 0.30 ;   3.269 ;    +0.68 ;    54.86 ;   -6.8 ;     81.67 ;    +2.0
     9000 ; 0.30 ;   3.351 ;    +0.76 ;    54.41 ;   -7.5 ;     81.89 ;    +2.2
     3000 ; 0.40 ;   3.759 ;    +1.17 ;    56.66 ;   -3.7 ;     87.49 ;    +9.2
     5000 ; 0.40 ;   3.545 ;    +0.95 ;    55.53 ;   -5.6 ;     84.61 ;    +5.6
     7000 ; 0.40 ;   3.469 ;    +0.88 ;    54.76 ;   -6.9 ;     83.21 ;    +3.9
     9000 ; 0.40 ;   3.639 ;    +1.05 ;    54.37 ;   -7.6 ;     84.21 ;    +5.1
