# RB2(RUL) attribution : P_ely=c_ely*Pmax*min(RUL/ref,1)^exp ; refs=[1000.0, 2000.0, 3000.0] ; VoLL=[(None, 3)]
rang;c_fc;c_ely;RUL_ref;exp_ely;LPSP(%);deg(kEUR);total(kEUR)
1;0.440;0.310;1000;0.000;2.5921;58.8431;80.1022
2;0.440;0.310;1000;0.050;2.6086;58.7099;80.1039
3;0.440;0.310;3000;0.050;2.6681;58.4615;80.3438
4;0.440;0.310;2000;0.050;2.6526;58.5970;80.3522
5;0.440;0.300;1000;0.000;2.7536;58.0229;80.6063
6;0.440;0.300;1000;0.050;2.7756;57.8775;80.6416
7;0.440;0.310;1000;0.100;2.7111;58.5032;80.7384
8;0.440;0.300;2000;0.050;2.8140;57.7341;80.8128
9;0.440;0.320;3000;0.050;2.5586;59.9188;80.9028
10;0.440;0.300;3000;0.050;2.8468;57.5716;80.9194
11;0.440;0.300;1000;0.100;2.8461;57.6857;81.0277
12;0.440;0.320;1000;0.100;2.5761;59.9165;81.0440
13;0.440;0.320;2000;0.100;2.6543;59.3556;81.1249
14;0.440;0.320;2000;0.050;2.5629;60.1347;81.1541
15;0.440;0.320;1000;0.050;2.5420;60.3651;81.2128
16;0.440;0.320;1000;0.000;2.5209;60.5829;81.2581
17;0.440;0.310;2000;0.100;2.8184;58.1873;81.3018
18;0.440;0.320;3000;0.100;2.7469;58.8546;81.3834
19;0.440;0.300;2000;0.100;2.9440;57.3357;81.4805
20;0.440;0.310;3000;0.100;2.8861;57.8476;81.5180
21;0.440;0.310;1000;0.200;2.8524;58.2535;81.6473
22;0.440;0.320;1000;0.200;2.7591;59.3355;81.9639
23;0.440;0.300;1000;0.200;2.9959;57.4480;82.0188
24;0.440;0.300;3000;0.100;3.0830;56.9693;82.2545
25;0.440;0.310;2000;0.200;3.0686;57.6662;82.8334
26;0.440;0.320;2000;0.200;2.9754;58.4469;82.8493
27;0.440;0.300;3000;0.200;3.2436;56.3958;82.9979
28;0.440;0.300;2000;0.200;3.2251;56.9216;83.3721
29;0.440;0.310;1000;0.500;3.1430;58.0461;83.8234
30;0.440;0.320;3000;0.200;3.1895;57.7891;83.9472
31;0.440;0.300;1000;0.500;3.2734;57.3400;84.1862
32;0.440;0.310;3000;0.200;3.3250;57.0925;84.3620
33;0.440;0.320;1000;0.500;3.1154;58.8441;84.3948
34;0.440;0.300;3000;0.500;3.4983;56.0346;84.7254
35;0.440;0.300;2000;0.500;3.5776;56.6547;85.9958
36;0.440;0.310;2000;0.500;3.6326;57.3137;87.1060
37;0.440;0.320;2000;0.500;3.5703;57.8579;87.1393
38;0.440;0.310;3000;0.500;3.8662;56.6050;88.3133
39;0.440;0.320;3000;0.500;4.0467;57.1141;90.3029

# MIN global : c_ely=0.310 exp=0.00 ref=1000 -> 80.1022 kEUR
# MIN sans RUL (exp=0) : 80.1022 kEUR (c_ely=0.310)
# MIN avec RUL (exp>0) : 80.1039 kEUR (c_ely=0.310 exp=0.05 ref=1000)
# gain levier RUL = -0.0017 kEUR (-0.002 %)
