# RB2(SoH) min deg s.c. LPSP<=2.4509% — dim FIXE — N~25.00ans BoP_fixe=40.71k€ (constant)
# base=(0.45,0.33)
phase;coef_fc;coef_ely;faisable;LPSP_%;deg_k€;NPC_k€;E_nonservie_kWh;vie_bat;vie_fc;vie_ely
1;0.420;0.300;0;2.8848;56.73;72.69;7887;3.8904109589041096;12.660958904109588;None
1;0.420;0.310;0;2.8678;58.03;73.43;7840;3.8929223744292236;12.660958904109588;21.8560502283105
1;0.420;0.320;0;2.8735;59.13;74.05;7856;3.894520547945205;12.660958904109588;18.636529680365296
1;0.420;0.330;0;2.8841;61.10;75.16;7885;3.8929223744292236;12.660958904109588;15.699315068493151
1;0.420;0.340;0;2.8724;64.90;77.30;7853;3.8875570776255706;12.660958904109588;13.16472602739726
1;0.420;0.360;0;2.8413;69.99;80.17;7767;3.8819634703196346;12.660958904109588;10.021575342465754
1;0.450;0.300;0;2.8861;55.91;72.23;7890;3.910958904109589;12.61700913242009;None
1;0.450;0.310;0;2.7371;57.56;73.16;7483;3.9136986301369863;12.597945205479451;22.57945205479452
1;0.450;0.320;0;2.6779;58.67;73.79;7321;3.9148401826484016;12.597945205479451;19.009018264840183
1;0.450;0.330;0;2.6560;60.71;74.94;7261;3.913812785388128;12.597945205479451;15.745890410958904
1;0.450;0.340;0;2.6212;65.24;77.50;7166;3.9082191780821915;12.597945205479451;12.89349315068493
1;0.450;0.360;0;2.5907;70.70;80.57;7082;3.9038812785388126;12.597945205479451;9.613698630136986
1;0.475;0.300;0;3.1692;55.20;71.83;8664;3.928538812785388;12.678538812785387;None
1;0.475;0.310;0;2.9411;57.13;72.92;8040;3.9397260273972603;12.626826484018265;23.16563926940639
1;0.475;0.320;0;2.7140;58.28;73.57;7420;3.9421232876712327;12.593949771689497;19.3351598173516
1;0.475;0.330;0;2.5597;60.36;74.74;6998;3.9422374429223743;12.57203196347032;15.789497716894976
1;0.475;0.340;1;2.4344;65.49;77.63;6655;3.9281963470319634;12.56107305936073;12.690639269406391
1;0.475;0.360;1;2.4007;71.20;80.85;6563;3.924771689497717;12.56107305936073;9.353424657534246
1;0.500;0.300;0;3.5521;54.57;71.48;9711;3.9602739726027396;12.733561643835616;None
1;0.500;0.310;0;3.3090;56.65;72.65;9046;3.964269406392694;12.709018264840182;23.776940639269405
1;0.500;0.320;0;3.0668;57.81;73.31;8384;3.964269406392694;12.670662100456621;19.74634703196347
1;0.500;0.330;0;2.8776;59.90;74.48;7867;3.9643835616438357;12.648744292237442;15.88013698630137
1;0.500;0.340;0;2.7850;65.36;77.56;7614;3.9602739726027396;12.643378995433789;12.619520547945205
1;0.500;0.360;1;2.4090;71.63;81.10;6586;3.9585616438356164;12.566552511415525;9.10947488584475
1;0.530;0.300;0;4.3460;54.12;71.22;11881;3.9804794520547944;12.893835616438356;None
1;0.530;0.310;0;3.8856;56.20;72.39;10623;3.9877853881278535;12.792465753424658;24.174200913242007
1;0.530;0.320;0;3.7072;57.24;72.98;10135;3.9941780821917807;12.751369863013698;20.099999999999998
1;0.530;0.330;0;3.4279;59.23;74.11;9371;3.997146118721461;12.726712328767123;16.077397260273973
1;0.530;0.340;0;3.2206;65.07;77.40;8804;3.9896118721461185;12.706278538812786;12.567237442922375
1;0.530;0.360;0;2.8204;71.97;81.29;7711;3.9907534246575342;12.625342465753425;8.898515981735159
2;0.465;0.320;0;2.6480;58.44;73.66;7239;3.9259132420091323;12.577511415525114;19.198287671232876
2;0.465;0.330;0;2.5728;60.53;74.84;7034;3.9259132420091323;12.569292237442921;15.732077625570776
2;0.465;0.340;0;2.4891;65.32;77.54;6805;3.9191780821917805;12.569292237442921;12.789383561643834
2;0.465;0.350;0;2.4795;68.01;79.06;6778;3.917808219178082;12.569292237442921;10.821803652968036
2;0.475;0.350;1;2.4133;68.09;79.10;6598;3.926255707762557;12.56107305936073;10.704223744292237
2;0.485;0.320;0;2.8708;58.11;73.47;7848;3.9503424657534247;12.628082191780821;19.45582191780822
2;0.485;0.330;0;2.6668;60.19;74.65;7290;3.9503424657534247;12.60068493150685;15.81689497716895
2;0.485;0.340;0;2.5335;65.40;77.58;6926;3.9439497716894976;12.592465753424657;12.685045662100457
2;0.485;0.350;1;2.4145;68.11;79.11;6601;3.943835616438356;12.564954337899543;10.602853881278538
