P_fc_set(W);P_ely_set(W);LPSP(%);Cost(kEUR);Pareto;Score
300;1000;13.0539;46.7896;1;0.2034
300;500;15.8948;45.5056;1;0.2194
600;1000;20.8295;44.9012;1;0.2706
600;500;25.0982;43.9573;1;0.3087
300;1500;10.4502;58.2323;1;0.3366
1500;1000;31.7775;42.1652;1;0.3639
900;1000;32.6946;42.6324;0;0.3818
600;1500;17.1301;55.9765;0;0.3852
1500;500;35.4605;41.8442;1;0.4040
900;500;36.7801;42.0426;0;0.4229
1200;1000;44.1961;38.3026;1;0.4590
1500;1500;28.5081;52.6665;0;0.4755
300;2000;8.1479;70.7918;1;0.4895
900;1500;29.1031;53.4113;0;0.4934
300;2500;6.8782;72.5891;1;0.5000
1200;500;48.1037;37.8618;1;0.5000
600;2000;13.7435;68.2024;0;0.5201
600;2500;10.7065;71.8018;0;0.5351
1200;1500;40.7142;48.9719;0;0.5703
1500;2000;25.5149;64.3937;0;0.6080
1500;2500;22.8040;67.5730;0;0.6209
900;2000;25.8644;65.3765;0;0.6264
900;2500;22.9318;68.7700;0;0.6397
1200;2000;37.5702;60.8227;0;0.7028
1200;2500;34.7659;64.1163;0;0.7162
