# RB2(SoH) generalisee gamma — min deg s.c. LPSP<=cap — 25 ans — metrics() commun
# REF RB2(0.45, 0.33) : LPSP_cap=2.4540%  deg_cible=65.42kEUR
phase;c_fc;c_ely;g_fc;g_ely;faisable;LPSP_%;deg_kEUR;vie_bat;vie_fc;vie_ely
2;0.455;0.330;0.0;0.0;1;2.4530;65.40;3.9215753424657533;12.54714611872146;12.656392694063927
1;0.450;0.330;0.0;0.0;1;2.4540;65.42;3.917579908675799;12.548744292237442;12.664611872146118
1;0.475;0.340;1.0;1.0;1;2.4347;65.49;3.927853881278539;12.559703196347032;12.689383561643835
2;0.455;0.335;0.0;0.0;1;2.3720;66.70;3.914497716894977;12.541666666666666;11.467351598173515
2;0.450;0.335;0.0;0.0;1;2.4017;66.71;3.9106164383561643;12.548744292237442;11.51392694063927
2;0.445;0.335;0.0;0.0;1;2.4507;66.73;3.9063926940639266;12.554223744292237;11.549657534246576
1;0.475;0.340;0.0;0.0;1;2.4519;67.86;3.9396118721461186;12.593721461187215;10.38527397260274
1;0.475;0.340;1.0;0.0;1;2.4104;67.86;3.9281963470319634;12.559703196347032;10.615410958904109
1;0.450;0.340;0.0;0.0;1;2.4087;67.88;3.911643835616438;12.548744292237442;10.568835616438356
1;0.450;0.350;0.0;1.0;1;2.4344;68.10;3.909132420091324;12.554223744292237;10.700342465753424
1;0.475;0.350;1.0;1.0;1;2.4136;68.10;3.926255707762557;12.559703196347032;10.705707762557077
1;0.500;0.350;2.0;0.0;1;2.4277;71.46;3.952054794520548;12.570662100456621;9.102853881278538
1;0.475;0.350;1.0;0.0;1;2.3826;71.53;3.924771689497717;12.559703196347032;9.140981735159817
1;0.450;0.350;0.0;0.0;1;2.3883;71.54;3.9079908675799087;12.548744292237442;9.157762557077625
1;0.500;0.350;1.0;0.0;1;2.3009;72.14;3.958333333333333;12.55159817351598;8.861986301369862
1;0.475;0.350;0.0;0.0;1;2.2448;72.25;3.9365296803652967;12.55810502283105;8.892123287671232
1;0.500;0.310;0.0;2.0;0;4.4068;53.37;3.9710045662100457;12.826712328767123;None
1;0.500;0.310;1.0;2.0;0;3.6337;53.73;3.9639269406392694;12.718607305936073;None
1;0.475;0.310;0.0;2.0;0;3.6829;53.76;3.942009132420091;12.736187214611872;None
1;0.500;0.310;2.0;2.0;0;3.2352;54.17;3.957077625570776;12.66107305936073;None
1;0.475;0.310;1.0;2.0;0;3.2305;54.19;3.93824200913242;12.655593607305935;None
1;0.450;0.310;0.0;2.0;0;3.2064;54.26;3.9148401826484016;12.650456621004565;None
1;0.500;0.320;0.0;2.0;0;4.0448;54.34;3.9710045662100457;12.73082191780822;None
1;0.475;0.310;2.0;2.0;0;3.0027;54.67;3.9280821917808217;12.633675799086758;None
1;0.450;0.310;1.0;2.0;0;2.9356;54.68;3.911986301369863;12.596575342465753;None
1;0.500;0.320;1.0;2.0;0;3.3310;54.79;3.9639269406392694;12.699429223744291;None
1;0.475;0.320;0.0;2.0;0;3.4839;54.87;3.944634703196347;12.708789954337899;None
1;0.450;0.310;2.0;2.0;0;2.9535;55.15;3.909132420091324;12.634931506849314;None
1;0.500;0.320;2.0;2.0;0;3.0662;55.32;3.958333333333333;12.628196347031963;None
1;0.475;0.320;1.0;2.0;0;3.0739;55.40;3.9409817351598173;12.609018264840183;None
1;0.450;0.320;0.0;2.0;0;3.0445;55.46;3.9174657534246573;12.611757990867579;None
1;0.475;0.320;2.0;2.0;0;2.8907;55.87;3.9381278538812783;12.614497716894977;None
1;0.450;0.320;1.0;2.0;0;2.8606;55.97;3.9146118721461187;12.596575342465753;None
1;0.500;0.310;0.0;1.0;0;3.8943;56.25;3.9694063926940637;12.741780821917807;24.130593607305936
1;0.450;0.320;2.0;2.0;0;2.8979;56.42;3.911529680365297;12.634931506849314;None
1;0.500;0.310;1.0;1.0;0;3.3095;56.65;3.9639269406392694;12.707648401826484;23.77420091324201
1;0.500;0.330;0.0;2.0;0;3.7895;56.67;3.971917808219178;12.68972602739726;22.450913242009133
1;0.475;0.310;0.0;1.0;0;3.3733;56.69;3.942351598173516;12.722602739726026;23.70296803652968
1;0.500;0.310;2.0;1.0;0;3.0143;57.08;3.957077625570776;12.647374429223744;23.245319634703197
1;0.500;0.330;1.0;2.0;0;3.2047;57.10;3.9657534246575343;12.658333333333333;22.198972602739726
1;0.475;0.310;1.0;1.0;0;2.9415;57.14;3.9393835616438353;12.625456621004567;23.157762557077625
1;0.475;0.330;0.0;2.0;0;3.2408;57.14;3.9462328767123287;12.681392694063927;22.053881278538814
1;0.450;0.310;0.0;1.0;0;2.9273;57.18;3.9160958904109586;12.625456621004567;23.075456621004566
1;0.500;0.320;0.0;1.0;0;3.5592;57.32;3.970890410958904;12.703424657534246;19.996118721461187
1;0.500;0.330;2.0;2.0;0;2.9650;57.51;3.9610730593607304;12.606278538812784;21.853652968036528
1;0.475;0.310;2.0;1.0;0;2.8302;57.53;3.9288812785388125;12.625456621004567;22.659132420091325
1;0.475;0.330;1.0;2.0;0;2.9158;57.54;3.9434931506849313;12.595319634703197;21.771461187214612
1;0.450;0.310;1.0;1.0;0;2.7368;57.57;3.9133561643835617;12.596575342465753;22.57431506849315
1;0.450;0.330;0.0;2.0;0;2.8557;57.58;3.918835616438356;12.592579908675798;21.640068493150686
1;0.500;0.310;0.0;0.0;0;3.4847;57.68;3.972146118721461;12.711643835616439;18.604337899543378
1;0.500;0.320;1.0;1.0;0;3.0665;57.82;3.9639269406392694;12.669292237442923;19.74417808219178
1;0.475;0.320;0.0;1.0;0;3.0831;57.84;3.9447488584474883;12.692465753424656;19.63173515981735
1;0.475;0.330;2.0;2.0;0;2.8387;57.90;3.939269406392694;12.606278538812784;21.49486301369863
1;0.450;0.330;1.0;2.0;0;2.7977;57.93;3.9159817351598174;12.596575342465753;21.355022831050228
1;0.450;0.310;2.0;1.0;0;2.8345;57.94;3.9106164383561643;12.634931506849314;22.050570776255707
1;0.500;0.310;1.0;0.0;0;3.0715;58.18;3.9639269406392694;12.68025114155251;18.325
1;0.475;0.310;0.0;0.0;0;3.0199;58.18;3.9434931506849313;12.714269406392694;18.286643835616438
1;0.450;0.330;2.0;2.0;0;2.8895;58.25;3.9118721461187214;12.634931506849314;21.110958904109587
1;0.500;0.320;2.0;1.0;0;2.8448;58.25;3.9584474885844747;12.614497716894977;19.420890410958904
1;0.475;0.320;1.0;1.0;0;2.7145;58.28;3.9418949771689498;12.592579908675798;19.327625570776256
1;0.450;0.320;0.0;1.0;0;2.6924;58.30;3.9174657534246573;12.582876712328767;19.2236301369863
1;0.500;0.310;2.0;0.0;0;2.8094;58.63;3.9571917808219177;12.636415525114154;18.026141552511415
1;0.475;0.320;2.0;1.0;0;2.7584;58.66;3.9381278538812783;12.614497716894977;19.078424657534246
