# RB2(SoH) setpoints — dim FIXE — r=0.05 VOLL=5.0EUR/kWh N=25.00ans AF=0.5638
# base=(0.475,0.33)  BoP_fixe=40.71k€ (constant)
phase;coef_fc;coef_ely;pareto;LPSP_%;E_nonservie_kWh;NPC_k€;VOLL_cost_k€;total_econ_k€;deg_k€;vie_bat;vie_fc;vie_ely
1;0.300;0.200;0;4.6250;12643;70.61;35.64;106.25;53.03;3.8460045662100457;12.619977168949772;None
1;0.300;0.270;0;4.4101;12056;71.21;33.98;105.19;54.09;3.8376712328767124;12.619977168949772;None
1;0.300;0.330;0;4.1237;11273;73.77;31.78;105.54;58.63;3.8168949771689498;12.619977168949772;21.32488584474886
1;0.300;0.400;0;4.0674;11119;80.19;31.34;111.53;70.03;3.80662100456621;12.619977168949772;10.385045662100456
1;0.300;0.500;0;3.9276;10737;85.73;30.27;116.00;79.85;3.790068493150685;12.619977168949772;7.286187214611872
1;0.300;0.600;0;3.7143;10154;90.44;28.62;119.06;88.20;3.7735159817351596;12.619977168949772;5.817808219178082
1;0.400;0.200;0;4.9090;13420;69.44;37.83;107.26;50.95;3.900684931506849;12.825342465753424;None
1;0.400;0.270;0;3.2570;8904;69.97;25.10;95.07;51.90;3.9023972602739723;12.663812785388128;None
1;0.400;0.330;0;3.0583;8361;73.37;23.57;96.93;57.92;3.8817351598173513;12.663812785388128;21.291666666666664
1;0.400;0.400;0;3.0316;8288;83.22;23.36;106.58;75.40;3.861187214611872;12.663812785388128;8.357420091324201
1;0.400;0.500;0;2.8861;7890;91.39;22.24;113.63;89.89;3.8432648401826484;12.663812785388128;5.388013698630137
1;0.400;0.600;0;2.7830;7608;97.00;21.44;118.45;99.84;3.829794520547945;12.663812785388128;4.3712328767123285
1;0.475;0.200;0;6.6417;18157;69.27;51.18;120.45;50.65;3.91324200913242;13.54554794520548;None
1;0.475;0.270;1;3.8012;10391;69.14;29.29;98.44;50.43;3.9557077625570773;12.704908675799086;None
1;0.475;0.330;1;2.6087;7131;72.89;20.10;92.99;57.07;3.942009132420091;12.565182648401827;22.11107305936073
1;0.475;0.400;0;2.4104;6589;84.80;18.57;103.38;78.21;3.9256849315068494;12.559703196347032;7.26986301369863
1;0.475;0.500;1;2.3223;6348;95.57;17.90;113.47;97.31;3.9143835616438354;12.559703196347032;4.497602739726028
1;0.475;0.600;0;2.2296;6095;101.70;17.18;118.88;108.18;3.903538812785388;12.559703196347032;3.705365296803653
1;0.550;0.200;0;8.5123;23270;69.11;65.59;134.70;50.37;3.928310502283105;13.703424657534246;None
1;0.550;0.270;1;6.0880;16643;68.74;46.91;115.65;49.71;3.985958904109589;13.50445205479452;None
1;0.550;0.330;0;4.0195;10988;72.22;30.97;103.19;55.88;4.010502283105023;12.767808219178082;23.426369863013697
1;0.550;0.400;1;2.3416;6401;86.89;18.04;104.93;81.90;4.0228310502283104;12.578881278538812;6.412671232876712
1;0.550;0.500;1;1.8576;5078;99.65;14.31;113.97;104.55;4.0159817351598175;12.511529680365296;3.859132420091324
1;0.550;0.600;1;1.7841;4877;107.29;13.75;121.04;118.09;4.00365296803653;12.511529680365296;3.1659817351598174
1;0.650;0.200;0;9.1286;24955;69.39;70.34;139.74;50.87;3.924429223744292;10.218949771689497;None
1;0.650;0.270;1;8.6076;23531;68.74;66.33;135.07;49.71;4.058447488584474;10.175684931506849;None
1;0.650;0.330;0;7.1449;19532;71.98;55.06;127.03;55.45;4.1324200913242;10.137328767123288;23.45376712328767
1;0.650;0.400;0;5.4174;14810;87.29;41.75;129.03;82.61;4.188584474885845;9.805022831050229;6.223630136986301
1;0.650;0.500;0;2.5503;6972;104.25;19.65;123.90;112.70;4.229794520547945;9.273515981735159;3.3934931506849315
1;0.650;0.600;1;1.3026;3561;114.81;10.04;124.84;131.43;4.233789954337899;9.14486301369863;2.6236301369863013
1;0.750;0.200;0;14.5540;39787;73.22;112.15;185.37;57.67;4.0871004566210045;2.646689497716895;None
1;0.750;0.270;0;10.4393;28538;74.48;80.44;154.92;59.89;3.9955479452054794;2.1965753424657533;None
1;0.750;0.330;0;11.4544;31313;78.00;88.27;166.26;66.13;4.268036529680365;1.9238584474885845;23.45376712328767
1;0.750;0.400;0;9.4151;25738;94.31;72.55;166.86;95.06;4.2997716894977165;1.7287671232876711;6.220890410958904
1;0.750;0.500;0;6.6086;18066;112.93;50.92;163.86;128.11;4.416095890410959;1.533904109589041;3.3468036529680365
1;0.750;0.600;0;4.1951;11468;126.77;32.33;159.10;152.65;4.465410958904109;1.4332191780821917;2.530365296803653
2;0.435;0.290;1;2.8461;7780;69.84;21.93;91.77;51.66;3.8996575342465754;12.644634703196347;None
2;0.435;0.330;0;2.7471;7510;73.18;21.17;94.35;57.60;3.9036529680365297;12.636415525114154;21.535958904109588
2;0.435;0.370;0;2.7230;7444;79.76;20.98;100.75;69.26;3.8947488584474885;12.636415525114154;10.283561643835617
2;0.475;0.290;1;3.2557;8900;69.35;25.09;94.44;50.80;3.9280821917808217;12.704908675799086;None
2;0.475;0.370;1;2.4017;6566;80.36;18.51;98.87;70.32;3.9255707762557077;12.559703196347032;9.596232876712328
2;0.515;0.290;1;3.9368;10762;68.97;30.34;99.31;50.13;3.9656392694063927;12.83904109589041;None
2;0.515;0.330;0;3.1571;8631;72.51;24.33;96.84;56.40;3.979337899543379;12.645776255707762;22.913926940639268
2;0.515;0.370;1;2.3852;6521;80.96;18.38;99.34;71.38;3.9773972602739724;12.571803652968036;9.108561643835616
