# Valeur informationnelle du SoH -- boucle fermee vs boucle ouverte
# horizon=25 ans | N_MC=200 | mult U_log[0.50,2.00] | seed=2026 | VoLL=3.0 EUR/kWh
# facteurs perturbes : FC(a_irr,b_rev,s) ELY(a2,b2,s) BAT(echelle table)
# unifie = deg + VoLL*EENS [kEUR] ; CRN : memes mondes pour les 3 strategies
# TEST NUL nominal Sched==SoH : OK

## Points nominaux (multiplicateurs = 1)
strat;LPSP_%;deg_kEUR;EENS_kWh;unifie_kEUR;vie_bat;vie_fc;vie_ely
RB2;3.2499;57.548;8884.6;84.201;3.9121004566210043;5.686187214611872;None
RB2(Sched);2.9099;58.024;7955.0;81.889;3.890296803652968;5.524429223744292;None
RB2(SoH);2.9099;58.024;7955.0;81.889;3.890296803652968;5.524429223744292;None

## Tirages (mondes perturbes, 200 complets)
draw;m_fc_a;m_fc_b;m_fc_s;m_ely_a;m_ely_b;m_ely_s;m_bat;RB2_lpsp;RB2_deg;RB2_uni;RB2(Sched)_lpsp;RB2(Sched)_deg;RB2(Sched)_uni;RB2(SoH)_lpsp;RB2(SoH)_deg;RB2(SoH)_uni
0;0.6408;1.2140;0.9556;0.8357;0.8178;1.4959;1.7536;3.2617;93.658;120.408;2.9404;95.156;119.271;2.9521;94.154;118.365
1;0.6394;1.2359;0.7561;1.9105;1.7897;1.2073;1.4196;3.2815;76.172;103.085;2.9809;77.962;102.409;3.0084;76.774;101.447
2;1.0212;1.5711;0.9309;0.7998;0.7350;0.6843;1.0364;3.2469;56.926;83.556;2.9191;57.358;81.299;2.8267;57.482;80.665
3;0.9087;1.2538;0.5090;0.9301;0.8295;0.6556;1.1406;3.2475;59.965;86.599;2.9351;60.425;84.497;2.8093;60.548;83.589
4;0.9142;0.7578;0.6684;1.6809;1.5104;1.1594;0.8068;3.2580;48.825;75.545;2.9315;50.419;74.462;2.9652;49.382;73.701
5;1.8579;1.0918;0.9110;1.7422;0.7785;1.3122;0.7725;3.2716;51.497;78.328;2.9508;53.302;77.502;3.0073;51.956;76.620
6;0.7185;1.3210;0.6858;0.9905;1.1173;0.6497;1.3779;3.2602;70.474;97.212;2.9523;70.919;95.132;2.8130;71.054;94.124
7;1.0695;1.1835;0.8376;0.8953;0.9929;0.9592;1.2757;3.2583;69.273;95.996;2.9263;69.764;93.763;2.9064;69.809;93.645
8;1.1129;0.8904;0.5013;1.5032;1.0272;0.7863;0.9999;3.2371;55.042;81.591;2.9276;55.519;79.530;2.8355;55.592;78.847
9;0.5692;1.7525;1.9717;0.5424;0.8216;1.3757;0.7730;3.2744;51.342;78.197;2.9559;52.258;76.500;3.0136;51.619;76.335
10;1.0974;0.8908;1.4625;1.8881;1.7133;1.1825;0.6244;3.2832;43.326;70.253;2.9571;45.001;69.254;3.0115;43.905;68.603
11;1.8585;0.5167;0.7555;0.7388;1.2690;0.9826;0.5687;3.2364;39.607;66.150;2.9135;40.112;64.007;2.8921;40.134;63.853
12;0.5090;1.1556;0.9883;1.1509;1.0928;1.7182;1.7861;3.2728;96.473;123.314;2.9442;98.290;122.436;2.9592;96.978;121.247
13;0.6491;1.8458;1.4901;1.2126;1.2477;1.0659;1.7833;3.2645;93.476;120.250;2.9378;94.380;118.475;2.9399;94.081;118.192
14;0.6909;1.1476;1.5459;0.6027;1.1737;0.8740;1.4460;3.2574;77.301;104.017;2.9559;77.803;102.046;2.8815;77.875;101.507
15;0.5492;1.1596;1.6405;1.1947;0.7806;1.2411;0.7990;3.2821;50.790;77.708;2.9414;52.113;76.237;3.0288;51.163;76.004
16;1.2633;0.5974;0.7371;0.5232;0.5617;1.0789;0.6894;3.2500;44.137;70.791;2.9108;44.699;68.571;2.9355;44.559;68.635
17;1.0225;1.2476;1.6963;0.8180;0.7777;0.7724;0.5887;3.2394;39.502;66.070;2.9050;39.866;63.691;2.8427;39.929;63.243
18;1.2539;1.5576;0.9633;1.0842;1.8881;1.3175;1.4045;3.2761;78.287;105.155;2.9640;79.789;104.098;3.0201;78.796;103.565
19;1.7159;0.6744;1.2314;1.3517;1.6071;0.8053;1.2992;3.2719;71.968;98.802;2.9563;72.531;96.777;2.8901;72.621;96.325
20;1.1557;0.8819;0.5757;0.8157;1.9013;0.6750;0.5853;3.2392;36.022;62.589;2.9153;36.424;60.334;2.8179;36.520;59.631
21;0.8324;0.5751;0.7242;1.7763;0.7779;1.1264;0.6962;3.2334;43.676;70.195;2.9175;45.214;69.142;2.9427;44.220;68.354
22;1.2622;0.5968;1.4945;0.8987;0.6450;1.4305;1.0782;3.2777;65.929;92.811;2.9416;67.354;91.480;3.0062;66.354;91.009
23;0.9178;0.6980;1.4771;0.8296;0.5308;1.9063;0.5216;3.2316;43.422;69.926;2.9047;44.832;68.654;2.9164;43.737;67.655
24;0.5909;0.9537;0.6670;0.7957;1.0982;1.8865;1.8310;3.2664;98.871;125.660;2.9421;100.396;124.526;2.9277;99.339;123.350
25;0.5539;1.6320;0.6310;1.5399;0.7540;1.3525;1.3543;3.2628;73.901;100.661;2.9293;75.590;99.615;2.9987;74.320;98.913
26;1.6257;1.9443;0.7325;1.1947;1.3933;0.5584;1.2535;3.2677;66.563;93.362;2.9400;67.161;91.273;2.8012;67.369;90.343
27;0.7808;0.6254;1.0710;0.9485;1.1128;1.2174;0.9982;3.2667;58.663;85.454;2.9387;59.884;83.985;3.0069;59.076;83.737
28;1.7536;0.6399;0.7462;0.8193;1.4628;1.2347;0.6657;3.2594;45.413;72.145;2.9208;46.617;70.572;2.9948;45.874;70.436
29;1.4034;1.4571;1.4545;0.5574;0.6710;1.7300;1.6922;3.2728;95.648;122.489;2.9414;96.975;121.099;2.9646;96.191;120.506
30;0.6649;1.0738;0.7196;0.8904;0.5147;0.7389;0.7277;3.2414;42.030;68.615;2.9367;42.374;66.459;2.8290;42.450;65.652
31;1.7879;1.1297;0.6395;0.9045;0.9903;1.2098;1.0460;3.2682;62.073;88.877;2.9361;63.379;87.459;2.9966;62.602;87.179
32;0.8963;0.7693;1.1096;1.9341;1.0762;1.7100;0.5107;3.2392;40.680;67.246;2.8943;42.802;66.540;2.8985;41.047;64.819
33;0.6626;1.6581;1.1011;0.9829;0.8337;0.7529;1.2813;3.2544;67.858;94.549;2.9454;68.311;92.468;2.8525;68.432;91.827
34;0.8302;0.9141;1.4678;1.8562;1.9825;0.9793;0.6056;3.2610;40.469;67.214;2.9329;40.805;64.858;2.9202;40.875;64.825
35;0.5176;0.9926;0.5558;0.5886;0.6924;1.9779;0.6261;3.2772;44.847;71.724;2.9366;45.964;70.048;2.9508;45.108;69.310
36;0.5825;1.7800;1.1844;1.3946;0.8176;1.8247;1.9348;3.2687;104.564;131.372;2.9703;106.534;130.894;2.9641;105.074;129.384
37;1.0844;1.9638;1.0081;0.9199;1.4854;1.2214;0.6602;3.2609;44.102;70.846;2.9328;45.273;69.327;3.0017;44.514;69.132
38;1.0209;0.5115;1.6833;1.0606;0.5331;1.8347;1.9984;3.2861;109.773;136.724;2.9426;111.652;135.786;2.9671;110.356;134.690
39;1.3895;0.9092;1.1351;0.5071;0.5811;0.7911;0.8843;3.2544;52.296;78.987;2.9286;52.754;76.773;2.8576;52.827;76.264
40;1.4259;0.6335;0.5873;1.3149;1.7125;1.6927;1.3985;3.2714;79.980;106.811;2.9429;81.917;106.053;2.9608;80.505;104.787
41;1.9550;1.0311;1.4630;0.8915;0.8159;1.7674;0.9084;3.2551;62.278;88.974;2.9271;63.939;87.946;2.9337;62.802;86.862
42;1.4073;0.9959;0.5842;0.5962;1.0141;1.3336;1.3996;3.2764;77.473;104.344;2.9436;78.602;102.744;3.0326;77.909;102.780
43;0.7963;0.5064;1.0473;0.6503;0.7793;1.0965;0.8607;3.2504;51.608;78.265;2.9295;52.241;76.268;2.9477;52.013;76.189
44;0.9447;0.5362;0.6444;1.6064;1.0166;1.7055;1.6410;3.2664;90.115;116.904;2.9240;92.262;116.243;2.9452;90.664;114.819
45;0.6535;0.8701;1.0364;0.5724;0.5628;1.6054;1.5729;3.2911;86.360;113.352;2.9402;87.676;111.789;2.9589;86.901;111.168
46;0.8506;1.3316;1.0252;1.4096;0.7740;0.9646;1.7242;3.2793;89.179;116.074;2.9466;89.771;113.937;2.9176;89.830;113.758
47;1.5511;0.7684;1.6977;0.8690;1.2877;1.3407;0.8726;3.2600;57.547;84.284;2.9211;58.885;82.842;2.9673;57.984;82.320
48;1.5737;0.9531;1.8939;1.8320;1.7417;1.7614;0.6131;3.2675;49.245;76.044;2.9448;51.438;75.590;2.9457;49.711;73.871
49;1.2283;1.3969;1.0407;1.0413;0.6611;0.6248;1.4807;3.2455;77.252;103.870;2.9415;77.802;101.926;2.8071;77.971;100.993
50;0.6152;1.3721;0.5564;0.8855;0.5169;1.2490;0.7505;3.2484;45.968;72.610;2.9253;47.043;71.035;3.0086;46.272;70.946
51;0.9562;0.7438;1.0221;1.2443;0.6302;1.4683;1.4794;3.2510;82.309;108.972;2.9312;84.037;108.076;2.9631;82.801;107.103
52;1.8459;0.8476;1.6774;0.5693;1.9832;0.6710;0.8396;3.2382;52.097;78.655;2.9280;52.664;76.677;2.8097;52.787;75.831
53;0.5692;1.5914;0.9807;1.8984;0.6110;1.7215;0.8231;3.2596;53.564;80.297;2.9325;55.707;79.757;2.9441;53.944;78.090
54;0.6938;1.2434;0.5214;1.0359;0.9641;0.5348;0.9128;3.2435;48.384;74.986;2.9263;48.738;72.738;2.7903;48.897;71.782
55;0.7630;0.7058;1.8158;1.1460;0.6191;1.4283;0.8346;3.2600;54.793;81.530;2.9196;56.312;80.257;2.9654;55.177;79.497
56;1.1469;0.8467;1.2117;1.2869;0.7408;1.5824;1.1779;3.2539;70.567;97.254;2.9244;72.396;96.380;2.9472;71.053;95.225
57;1.1571;0.6764;0.7110;0.8650;0.5240;0.5394;1.2530;3.2643;65.179;91.951;2.9379;65.737;89.832;2.7897;65.930;88.810
58;0.7754;1.3571;0.5547;1.3950;0.6729;1.6691;1.7569;3.2623;94.327;121.082;2.9550;96.346;120.582;2.9489;94.929;119.114
59;1.3001;0.8637;0.5181;1.4362;1.0910;0.5604;1.1030;3.2653;58.503;85.283;2.9356;59.016;83.092;2.8075;59.198;82.223
60;0.5043;0.9348;1.1700;1.5213;0.7481;0.6897;0.7912;3.2814;45.146;72.059;2.9584;45.521;69.784;2.8460;45.618;68.959
61;0.5428;1.8188;1.6950;1.1521;0.5545;0.5615;1.8203;3.2518;92.034;118.704;2.9493;92.554;116.743;2.7929;92.771;115.677
62;0.5946;0.6119;1.4855;0.7595;0.8846;0.8827;1.3196;3.2763;71.318;98.188;2.9420;71.761;95.889;2.9014;71.833;95.629
63;0.9624;1.5416;0.9944;0.7479;0.6548;1.4241;0.6778;3.2470;45.999;72.629;2.9074;47.183;71.028;2.9665;46.329;70.658
64;1.1630;1.1509;1.9007;0.5661;0.6667;1.2510;0.7910;3.2941;52.585;79.600;2.9643;53.578;77.889;3.0305;52.984;77.838
65;0.5976;1.7300;1.3784;0.6807;0.5705;1.6075;1.1018;3.2722;66.116;92.953;2.9406;67.383;91.500;2.9722;66.529;90.906
66;1.8140;1.0241;0.6886;0.6017;0.8924;1.2906;0.5030;3.2418;38.498;65.086;2.9116;39.548;63.428;2.9835;38.900;63.369
67;0.8650;0.8752;1.2675;0.6552;1.6843;0.7847;1.5731;3.2824;81.909;108.829;2.9410;82.507;106.627;2.8592;82.640;106.090
68;1.5749;1.7050;0.7158;1.6018;0.6883;0.8699;0.6397;3.2532;41.098;67.779;2.9308;41.545;65.581;2.8761;41.603;65.191
69;0.9782;0.5549;1.8839;0.5091;0.9953;1.5979;0.6008;3.2601;45.996;72.733;2.9242;47.031;71.013;2.9525;46.325;70.540
70;1.1441;1.0440;1.4291;1.3169;1.5692;1.5017;1.1217;3.2750;67.964;94.824;2.9266;69.808;93.810;2.9684;68.500;92.845
71;0.8122;0.5803;0.6275;1.6730;0.7235;1.7268;0.7643;3.2544;50.517;77.207;2.9429;52.535;76.672;2.9421;50.886;75.015
72;0.5413;0.7474;0.8522;0.5773;0.9072;1.5114;0.8874;3.2466;54.483;81.110;2.9487;55.552;79.735;2.9763;54.809;79.219
73;0.9914;1.9966;0.6739;1.0628;1.9663;0.9941;1.1351;3.2659;62.620;89.405;2.9322;63.128;87.176;2.9172;63.122;87.047
74;1.0669;0.5866;1.3494;1.7705;1.8064;1.1277;0.8151;3.2702;51.185;78.005;2.9412;52.759;76.881;2.9653;51.762;76.081
75;1.2755;1.8522;1.9403;0.7402;1.8294;1.3761;1.6744;3.2650;93.554;120.331;2.9414;94.908;119.032;3.0005;94.067;118.676
76;0.6307;1.9352;1.4211;0.6298;1.0572;0.5836;1.3653;3.2558;71.250;97.952;2.9314;71.680;95.722;2.8102;71.867;94.915
77;1.1410;1.1146;1.6183;1.4534;0.5678;1.4382;1.0592;3.2676;65.316;92.114;2.9324;67.102;91.152;2.9965;65.760;90.336
78;0.6496;0.8091;1.0128;1.6445;1.6980;0.5760;0.9229;3.2666;50.264;77.054;2.9390;50.635;74.740;2.8048;50.779;73.783
79;1.6100;1.1525;1.6362;1.1443;0.6812;1.0040;1.0212;3.2595;61.772;88.505;2.9378;62.341;86.435;2.9187;62.341;86.278
80;1.7269;0.8188;0.6925;1.4120;0.8945;0.9785;1.9361;3.2669;100.268;127.062;2.9738;100.863;125.253;2.9505;100.935;125.134
81;1.2739;1.2690;1.8248;1.3497;1.8785;1.2030;1.1288;3.2695;67.622;94.437;2.9429;69.202;93.338;3.0009;68.223;92.835
82;0.7415;0.6885;1.0446;0.5427;0.6314;1.3349;1.2817;3.2626;71.929;98.687;2.9490;72.950;97.137;3.0139;72.322;97.040
83;0.5200;0.6269;1.1774;0.8798;1.1313;0.5977;1.6529;3.2491;83.356;110.003;2.9354;83.852;107.926;2.8077;84.045;107.072
84;0.7159;0.8402;0.9322;1.1373;1.9467;0.6684;0.6262;3.2809;37.474;64.382;2.9468;37.834;62.002;2.8346;37.949;61.196
85;0.6116;1.4635;0.8496;1.8074;0.5483;1.0447;1.4285;3.2772;75.518;102.396;2.9550;76.424;100.659;2.9435;76.121;100.263
86;1.0099;0.8786;1.5401;1.0127;1.7569;0.6960;1.1462;3.2488;63.502;90.147;2.9258;63.991;87.986;2.8248;64.130;87.297
87;1.2049;1.7584;0.5690;1.5278;1.2896;1.6486;1.1629;3.2535;68.802;95.485;2.9251;70.834;94.824;2.9430;69.330;93.466
88;0.9379;1.5080;0.7414;0.5399;1.4141;1.5419;1.5772;3.2766;86.093;112.966;2.9362;87.368;111.450;2.9790;86.628;111.061
89;0.9300;1.3807;1.3447;0.7459;1.4450;1.9031;0.8146;3.2677;56.131;82.931;2.9377;57.515;81.608;2.9325;56.493;80.543
90;0.7305;1.1233;1.6884;1.1620;1.9187;1.7965;1.3393;3.2583;79.426;106.149;2.9243;81.203;105.186;2.9297;79.878;103.906
91;1.3322;0.6400;0.8022;1.5372;0.8711;0.6859;0.5457;3.2159;35.436;61.811;2.8976;35.853;59.618;2.7898;35.959;58.839
92;0.6812;1.1128;1.8003;0.8604;1.4939;0.5977;1.5643;3.2756;81.160;108.024;2.9592;81.702;105.972;2.8341;81.916;105.160
93;1.8088;1.0036;0.9392;1.7608;0.6857;1.7916;1.7839;3.2669;100.068;126.862;2.9239;102.458;126.437;2.9575;100.733;124.988
94;1.8857;1.7198;1.0363;1.2866;1.0468;0.7597;1.9742;3.2887;101.702;128.674;2.9697;102.446;126.802;2.8883;102.572;126.260
95;0.5176;0.7086;1.8116;1.8720;0.7359;1.9994;1.5425;3.2774;89.605;116.484;2.9536;91.848;116.072;2.9527;90.046;114.262
96;1.4679;1.1047;0.8637;0.5064;0.8300;0.8406;0.5598;3.2402;37.611;64.185;2.9221;38.007;61.973;2.8601;38.071;61.528
97;0.5621;0.7203;0.9922;1.4623;1.1311;1.0584;1.5086;3.2566;79.578;106.286;2.9369;80.450;104.537;2.9391;80.113;104.218
98;1.6200;0.9200;1.1602;1.7932;0.5585;1.1630;1.4672;3.2689;81.584;108.394;2.9406;83.442;107.559;2.9921;82.338;106.878
99;0.9042;1.4141;1.6022;1.4426;1.0523;1.3648;1.3367;3.2673;76.674;103.470;2.9169;78.403;102.325;2.9826;77.154;101.616
100;0.8507;0.5150;1.8653;0.9562;0.7563;0.7076;0.8699;3.2447;51.730;78.341;2.9208;52.132;76.087;2.8269;52.236;75.421
101;1.1140;1.0249;0.8493;0.5569;1.9474;0.5110;1.7895;3.2489;89.484;116.130;2.9193;90.078;114.020;2.7713;90.343;113.071
102;0.5225;1.0076;1.4855;1.2545;1.3301;0.5724;1.6565;3.2502;84.168;110.824;2.9225;84.647;108.616;2.8090;84.850;107.888
103;1.2308;1.8449;1.9869;1.4233;1.5266;1.8948;1.3553;3.2695;82.865;109.679;2.9354;84.906;108.980;2.9392;83.364;107.470
104;1.1675;1.0381;1.0322;1.2141;1.1887;0.5010;0.6149;3.2549;37.314;64.009;2.9354;37.711;61.785;2.7902;37.867;60.751
105;0.8910;0.7449;1.2737;1.9743;0.7228;1.5384;0.8367;3.2537;54.598;81.282;2.9187;56.676;80.613;2.9356;55.049;79.125
106;1.3638;0.5655;1.1874;1.0289;1.5781;0.5893;1.0306;3.2491;57.571;84.219;2.9279;58.072;82.085;2.7924;58.240;81.142
107;1.6549;1.3099;0.6248;1.6321;0.6887;0.5538;0.5624;3.2237;35.622;62.061;2.9093;36.083;59.943;2.7736;36.222;58.969
108;1.4830;1.6029;1.6950;1.4228;1.7267;1.8090;1.0529;3.2552;68.604;95.302;2.9346;70.603;94.671;2.9465;69.075;93.240
109;1.2012;1.8750;1.0199;0.6981;1.8369;0.5364;1.1225;3.2626;60.382;87.140;2.9270;60.932;84.937;2.7750;61.126;83.885
110;1.8137;1.4032;1.1575;0.9814;0.7296;1.0918;1.3920;3.2712;77.988;104.816;2.9480;78.995;103.173;2.9580;78.662;102.922
111;1.0886;1.4467;1.9109;1.2132;1.3340;1.6229;1.0765;3.2791;67.862;94.755;2.9454;69.610;93.767;2.9702;68.309;92.669
112;0.7457;1.5021;1.5688;1.9450;0.5149;1.0098;0.5443;3.2157;38.140;64.513;2.9051;38.590;62.416;2.8952;38.572;62.317
113;0.9949;0.9692;0.6781;1.9977;1.4002;0.8539;1.5050;3.2593;78.285;105.015;2.9376;78.814;102.906;2.8778;78.877;102.479
114;0.7040;0.7418;1.4669;1.3107;1.4841;0.8578;0.6460;3.2521;41.145;67.817;2.9471;41.482;65.652;2.8894;41.548;65.246
115;0.9132;1.3961;1.6163;1.7465;1.9798;0.7719;1.5978;3.2593;84.133;110.864;2.9379;84.688;108.782;2.8516;84.806;108.193
116;1.9959;0.7367;0.5035;0.6092;1.4695;1.5239;0.7167;3.2341;49.648;76.172;2.9053;50.912;74.740;2.9501;50.138;74.333
117;1.8409;0.6940;1.3728;0.6457;1.4285;0.5365;1.1331;3.2585;63.482;90.206;2.9270;64.059;88.064;2.7871;64.247;87.105
118;0.8111;1.2468;1.7095;0.7815;1.8688;0.9355;0.8704;3.2495;52.747;79.397;2.9284;53.138;77.155;2.8916;53.167;76.882
119;0.6639;0.5401;0.5442;1.6248;0.5051;1.2282;1.1641;3.2549;64.601;91.295;2.9242;66.162;90.144;3.0080;65.055;89.725
120;1.1286;0.9459;0.5463;0.6529;1.3096;1.7195;0.9756;3.2686;60.424;87.231;2.9535;61.731;85.954;2.9783;60.836;85.263
121;0.8591;1.5876;0.5286;1.1464;1.9218;0.9076;0.7598;3.2525;44.470;71.145;2.9420;44.829;68.958;2.8888;44.848;68.541
122;0.8379;1.1089;1.6976;1.3741;0.8038;0.8498;1.2059;3.2613;67.179;93.927;2.9293;67.621;91.646;2.8723;67.702;91.259
123;1.1943;0.5855;1.1125;1.4084;0.5964;1.4659;0.6144;3.2754;44.273;71.136;2.9399;45.976;70.087;2.9744;44.639;69.034
124;0.5637;1.0825;1.4763;1.1751;1.1595;0.5682;1.1158;3.2604;59.883;86.623;2.9367;60.313;84.398;2.8070;60.495;83.517
125;1.0208;0.5100;1.4458;0.6780;0.9507;0.9422;1.2839;3.2524;71.051;97.725;2.9482;71.529;95.708;2.9096;71.569;95.431
126;1.6521;1.4743;0.6709;0.6866;0.9056;0.8298;1.3544;3.2652;73.025;99.804;2.9363;73.552;97.634;2.8667;73.653;97.164
127;1.0686;0.9336;1.1557;0.8479;1.6429;1.4095;1.5074;3.2586;83.740;110.465;2.9420;85.179;109.307;2.9873;84.218;108.718
128;1.9762;1.2961;1.2347;1.4465;1.2020;1.8792;0.8786;3.2461;61.316;87.938;2.9265;63.387;87.388;2.9263;61.829;85.828
129;0.8343;0.5631;1.8477;0.5601;1.7659;0.8175;1.9763;3.2923;101.722;128.724;2.9771;102.349;126.765;2.8981;102.465;126.233
130;0.5999;0.6992;1.4960;0.8576;0.9214;0.6607;0.6210;3.2662;38.421;65.209;2.9441;38.734;62.880;2.8422;38.847;62.157
131;1.6441;1.1357;1.4870;0.8311;0.9817;1.7797;1.7538;3.2654;99.522;126.303;2.9424;101.243;125.375;2.9366;100.176;124.260
132;1.1417;1.2859;0.5546;0.8056;1.0978;0.9227;0.7657;3.2564;45.560;72.267;2.9409;45.976;70.095;2.9029;46.001;69.809
133;1.3247;0.6932;1.7656;0.6663;1.3527;0.9922;1.3813;3.2659;77.302;104.088;2.9559;77.848;102.091;2.9313;77.883;101.924
134;0.8773;0.8165;1.2216;1.9005;1.2987;0.5113;0.5219;3.2219;33.159;59.583;2.8927;33.513;57.238;2.7467;33.671;56.198
135;0.6720;0.8159;0.6237;1.8751;0.7227;0.9443;0.6077;3.2527;37.660;64.337;2.9484;37.974;62.155;2.8999;38.030;61.814
136;0.7632;1.0656;0.8932;0.5656;1.4100;1.9174;0.6931;3.2380;49.212;75.769;2.9042;50.344;74.163;2.9287;49.517;73.537
137;0.6798;1.4245;0.9385;0.5288;0.5345;1.9490;1.3629;3.2624;79.245;106.001;2.9459;80.417;104.578;2.9486;79.648;103.830
138;1.0215;0.6226;1.7662;0.8411;0.7880;1.4950;1.5544;3.2688;87.718;114.527;2.9555;89.188;113.427;2.9886;88.177;112.688
139;0.5135;1.0721;0.8134;1.9193;0.7733;0.7586;1.2455;3.2778;64.997;91.880;2.9582;65.399;89.661;2.8624;65.500;88.976
140;1.7502;1.2176;1.0865;0.5911;0.7141;1.5133;0.6038;3.2516;45.356;72.024;2.9300;46.558;70.588;2.9594;45.778;70.049
141;1.8410;1.8592;1.2126;0.7602;1.8003;1.5107;1.3889;3.2761;81.037;107.906;2.9467;82.527;106.693;2.9774;81.604;106.023
142;0.6085;1.1655;1.5526;0.6895;0.7155;0.9298;1.5231;3.2692;80.935;107.748;2.9451;81.382;105.536;2.9207;81.425;105.379
143;0.5716;1.3236;1.1121;1.3367;0.6192;1.9058;0.6203;3.2784;45.849;72.737;2.9550;47.654;71.890;2.9601;46.133;70.410
144;1.5678;0.5064;1.3557;0.7628;0.8449;1.6927;0.8627;3.2549;58.575;85.269;2.9222;60.017;83.983;2.9370;59.038;83.125
145;1.0482;1.1750;0.5081;1.3039;1.8630;0.8726;1.6074;3.2575;82.636;109.352;2.9352;83.204;107.276;2.8863;83.248;106.920
146;0.6871;1.0659;0.7024;0.6669;1.2088;0.5202;1.9719;3.2825;96.091;123.012;2.9768;96.701;121.115;2.8199;96.948;120.075
147;1.3216;0.7260;1.1558;0.5396;1.2567;1.6096;1.5322;3.2700;86.685;113.504;2.9355;87.933;112.008;2.9758;87.193;111.598
148;0.5979;0.6138;1.2452;0.7423;1.8144;1.1034;1.0919;3.2824;61.776;88.697;2.9654;62.496;86.817;2.9881;62.209;86.716
149;1.4329;1.7000;0.9486;1.0896;0.5568;1.8011;1.7277;3.2671;96.405;123.199;2.9505;98.324;122.522;2.9627;97.054;121.352
150;0.5395;0.8139;1.7241;1.1276;0.7788;0.8159;1.2565;3.2798;68.379;95.278;2.9509;68.850;93.051;2.8661;68.942;92.448
