# RB2(rb2_extended), 25 ans, VoLL=3.0 EUR/kWh, LPSP charge totale
# Cas nul RB2: LPSP=0.77502% deg=63.37461 kEUR unifie=75.55008 kEUR
# Rang;LPSP[%];EENS[kWh];deg[kEUR];unifie[kEUR];sigma_unifie;parametres
1;0.775021;4058.488;63.374613;75.550078;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59}
2;0.735458;3851.313;64.918617;76.472557;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.59}
3;0.891884;4670.457;62.689265;76.700635;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.55}
4;0.877125;4593.171;63.352275;77.131789;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.55}
5;0.861782;4512.827;64.696112;78.234592;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.55}
6;0.890112;4661.179;64.553628;78.537164;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.65}
7;1.246753;6528.769;60.713418;80.299725;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.45}
8;1.131733;5926.455;62.534125;80.313490;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.59}
9;1.233332;6458.489;62.410296;81.785763;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.45}
10;1.219625;6386.713;62.893722;82.053862;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.45}
11;1.180168;6180.089;64.075255;82.615523;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.45}
12;1.364593;7145.856;62.763892;84.201459;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.65}
13;1.751012;9169.382;60.216029;87.724175;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.55}
14;1.791562;9381.730;61.858006;90.003196;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.65}
15;0.822614;4307.716;80.919820;93.842968;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.55}
16;0.704204;3687.650;82.840628;93.903577;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.59}
17;0.615701;3224.189;84.346830;94.019399;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.65}
18;1.137835;5958.406;76.195291;94.070511;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.45}
19;2.334495;12224.860;59.992348;96.666928;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.59}
20;2.150155;11259.541;63.520294;97.298918;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.75}
21;2.697183;14124.122;59.928202;102.300567;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.65}
22;2.561219;13412.131;62.068144;102.304536;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.75}
23;2.754231;14422.859;61.617151;104.885728;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.75}
24;2.990191;15658.491;60.838970;107.814441;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.75}
25;1.683527;8815.989;85.182207;111.630174;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.75}
26;1.143941;5990.385;96.381856;114.353011;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.45}
27;0.824550;4317.853;108.080055;121.033615;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.55}
28;3.736191;19565.010;63.896588;122.591620;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.85}
29;0.707713;3706.022;112.153094;123.271161;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.59}
30;4.015563;21027.973;60.841020;123.924939;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.85}
31;4.013992;21019.747;62.343070;125.402310;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.85}
32;4.008317;20990.030;62.646165;125.616255;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.85}
33;0.660324;3457.864;118.391272;128.764864;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.65}
34;3.367600;17634.841;83.309691;136.214213;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.85}
35;1.575966;8252.733;122.042648;146.800846;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.75}
36;3.263735;17090.938;118.490082;169.762897;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.85}
