# RB2(rul), 25 ans, VoLL=3.0 EUR/kWh, LPSP charge totale
# Cas nul RB2: LPSP=0.77502% deg=63.37461 kEUR unifie=75.55008 kEUR
# Rang;LPSP[%];EENS[kWh];deg[kEUR];unifie[kEUR];sigma_unifie;parametres
1;0.775021;4058.488;63.374613;75.550078;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59, "rul_gamma_ely": 0.0, "rul_gamma_fc": 0.0, "rul_ref_ely_days": 3000.0, "rul_ref_fc_days": 3000.0}
2;0.775021;4058.488;63.374613;75.550078;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59, "rul_gamma_ely": 0.0, "rul_gamma_fc": 0.0, "rul_ref_ely_days": 5000.0, "rul_ref_fc_days": 3000.0}
3;0.775021;4058.488;63.374613;75.550078;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59, "rul_gamma_ely": 0.0, "rul_gamma_fc": 0.0, "rul_ref_ely_days": 8000.0, "rul_ref_fc_days": 3000.0}
4;0.775021;4058.488;63.374613;75.550078;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59, "rul_gamma_ely": 0.0, "rul_gamma_fc": 0.0, "rul_ref_ely_days": 3000.0, "rul_ref_fc_days": 6000.0}
5;0.775021;4058.488;63.374613;75.550078;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59, "rul_gamma_ely": 0.0, "rul_gamma_fc": 0.0, "rul_ref_ely_days": 5000.0, "rul_ref_fc_days": 6000.0}
6;0.775021;4058.488;63.374613;75.550078;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59, "rul_gamma_ely": 0.0, "rul_gamma_fc": 0.0, "rul_ref_ely_days": 8000.0, "rul_ref_fc_days": 6000.0}
7;0.851105;4456.912;63.176465;76.547200;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59, "rul_gamma_ely": 0.05, "rul_gamma_fc": 0.0, "rul_ref_ely_days": 3000.0, "rul_ref_fc_days": 3000.0}
8;0.851105;4456.912;63.176465;76.547200;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59, "rul_gamma_ely": 0.05, "rul_gamma_fc": 0.0, "rul_ref_ely_days": 3000.0, "rul_ref_fc_days": 6000.0}
9;0.867999;4545.380;63.376250;77.012391;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59, "rul_gamma_ely": 0.0, "rul_gamma_fc": 0.05, "rul_ref_ely_days": 3000.0, "rul_ref_fc_days": 3000.0}
10;0.867999;4545.380;63.376250;77.012391;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59, "rul_gamma_ely": 0.0, "rul_gamma_fc": 0.05, "rul_ref_ely_days": 5000.0, "rul_ref_fc_days": 3000.0}
