# RB2(rb2_refined), 5 ans, VoLL=3.0 EUR/kWh, LPSP charge totale
# Cas nul RB2: LPSP=0.68459% deg=12.88528 kEUR unifie=15.03615 kEUR
# Rang;LPSP[%];EENS[kWh];deg[kEUR];unifie[kEUR];sigma_unifie;parametres
1;0.684592;716.958;12.885277;15.036150;0.000000;{"ely_setpoint": 0.52, "fc_setpoint": 0.61}
2;0.670475;702.173;12.938121;15.044641;0.000000;{"ely_setpoint": 0.53, "fc_setpoint": 0.61}
3;0.687224;719.714;12.922680;15.081824;0.000000;{"ely_setpoint": 0.53, "fc_setpoint": 0.62}
4;0.696227;729.143;12.900454;15.087882;0.000000;{"ely_setpoint": 0.52, "fc_setpoint": 0.6}
5;0.710690;744.289;12.871024;15.103892;0.000000;{"ely_setpoint": 0.51, "fc_setpoint": 0.6}
6;0.660985;692.234;13.050873;15.127575;0.000000;{"ely_setpoint": 0.54, "fc_setpoint": 0.62}
7;0.724268;758.510;12.855114;15.130643;0.000000;{"ely_setpoint": 0.51, "fc_setpoint": 0.61}
8;0.744559;779.760;12.794586;15.133866;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59}
9;0.733257;767.923;12.830983;15.134753;0.000000;{"ely_setpoint": 0.5, "fc_setpoint": 0.6}
10;0.722108;756.247;12.868135;15.136876;0.000000;{"ely_setpoint": 0.52, "fc_setpoint": 0.62}
11;0.696361;729.284;12.951462;15.139313;0.000000;{"ely_setpoint": 0.53, "fc_setpoint": 0.6}
12;0.732791;767.435;12.842031;15.144338;0.000000;{"ely_setpoint": 0.5, "fc_setpoint": 0.59}
13;0.668421;700.022;13.060310;15.160375;0.000000;{"ely_setpoint": 0.54, "fc_setpoint": 0.61}
14;0.721396;755.502;12.904778;15.171285;0.000000;{"ely_setpoint": 0.52, "fc_setpoint": 0.59}
15;0.765624;801.821;12.772212;15.177674;0.000000;{"ely_setpoint": 0.48, "fc_setpoint": 0.58}
16;0.779275;816.117;12.737045;15.185396;0.000000;{"ely_setpoint": 0.47, "fc_setpoint": 0.58}
17;0.734623;769.354;12.880506;15.188568;0.000000;{"ely_setpoint": 0.51, "fc_setpoint": 0.59}
18;0.778788;815.607;12.744151;15.190972;0.000000;{"ely_setpoint": 0.47, "fc_setpoint": 0.57}
19;0.772850;809.389;12.765127;15.193293;0.000000;{"ely_setpoint": 0.48, "fc_setpoint": 0.59}
20;0.765310;801.492;12.800931;15.205407;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.58}
21;0.722121;756.261;12.947448;15.216230;0.000000;{"ely_setpoint": 0.53, "fc_setpoint": 0.59}
22;0.699829;732.915;13.031749;15.230495;0.000000;{"ely_setpoint": 0.54, "fc_setpoint": 0.63}
23;0.782259;819.242;12.781508;15.239235;0.000000;{"ely_setpoint": 0.48, "fc_setpoint": 0.57}
24;0.785356;822.485;12.783229;15.250685;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.6}
25;0.765642;801.839;12.848447;15.253964;0.000000;{"ely_setpoint": 0.5, "fc_setpoint": 0.58}
26;0.748395;783.777;12.903184;15.254516;0.000000;{"ely_setpoint": 0.53, "fc_setpoint": 0.63}
27;0.696882;729.828;13.065254;15.254739;0.000000;{"ely_setpoint": 0.54, "fc_setpoint": 0.6}
28;0.779146;815.982;12.815286;15.263233;0.000000;{"ely_setpoint": 0.5, "fc_setpoint": 0.61}
29;0.753349;788.965;12.898382;15.265279;0.000000;{"ely_setpoint": 0.52, "fc_setpoint": 0.58}
30;0.785496;822.632;12.811581;15.279478;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.57}
31;0.767615;803.906;12.881818;15.293534;0.000000;{"ely_setpoint": 0.51, "fc_setpoint": 0.58}
32;0.783718;820.771;12.835906;15.298218;0.000000;{"ely_setpoint": 0.51, "fc_setpoint": 0.62}
33;0.659607;690.792;13.235791;15.308166;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.62}
34;0.754195;789.852;12.943729;15.313284;0.000000;{"ely_setpoint": 0.53, "fc_setpoint": 0.58}
35;0.784657;821.754;12.852181;15.317442;0.000000;{"ely_setpoint": 0.5, "fc_setpoint": 0.57}
36;0.771290;807.755;12.897703;15.320968;0.000000;{"ely_setpoint": 0.52, "fc_setpoint": 0.57}
37;0.828510;867.680;12.728344;15.331384;0.000000;{"ely_setpoint": 0.47, "fc_setpoint": 0.59}
38;0.722795;756.967;13.062238;15.333139;0.000000;{"ely_setpoint": 0.54, "fc_setpoint": 0.59}
39;0.668626;700.237;13.239711;15.340421;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.61}
40;0.786610;823.799;12.876710;15.348107;0.000000;{"ely_setpoint": 0.51, "fc_setpoint": 0.57}
41;0.772120;808.624;12.943389;15.369260;0.000000;{"ely_setpoint": 0.53, "fc_setpoint": 0.57}
42;0.686470;718.924;13.222642;15.379415;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.63}
43;0.808672;846.904;12.845900;15.386611;0.000000;{"ely_setpoint": 0.52, "fc_setpoint": 0.63}
44;0.849142;889.287;12.749597;15.417459;0.000000;{"ely_setpoint": 0.48, "fc_setpoint": 0.6}
45;0.754892;790.582;13.057963;15.429709;0.000000;{"ely_setpoint": 0.54, "fc_setpoint": 0.58}
46;0.697976;730.975;13.239352;15.432276;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.6}
47;0.769500;805.880;13.016242;15.433883;0.000000;{"ely_setpoint": 0.54, "fc_setpoint": 0.64}
48;0.865723;906.652;12.762197;15.482153;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.61}
49;0.772840;809.378;13.057643;15.485777;0.000000;{"ely_setpoint": 0.54, "fc_setpoint": 0.57}
50;0.642121;672.479;13.473602;15.491038;0.000000;{"ely_setpoint": 0.56, "fc_setpoint": 0.62}
51;0.723907;758.131;13.234889;15.509283;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.59}
52;0.650974;681.751;13.469536;15.514788;0.000000;{"ely_setpoint": 0.56, "fc_setpoint": 0.63}
53;0.871110;912.294;12.793245;15.530126;0.000000;{"ely_setpoint": 0.5, "fc_setpoint": 0.62}
54;0.843954;883.854;12.884296;15.535858;0.000000;{"ely_setpoint": 0.53, "fc_setpoint": 0.64}
55;0.744192;779.375;13.208316;15.546441;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.64}
56;0.668839;700.460;13.468051;15.569433;0.000000;{"ely_setpoint": 0.56, "fc_setpoint": 0.61}
57;0.881734;923.420;12.816487;15.586747;0.000000;{"ely_setpoint": 0.51, "fc_setpoint": 0.63}
58;0.756025;791.768;13.227969;15.603274;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.58}
59;0.694475;727.308;13.461920;15.643843;0.000000;{"ely_setpoint": 0.56, "fc_setpoint": 0.64}
60;0.773989;810.581;13.221147;15.652889;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.57}
61;0.939416;983.829;12.708124;15.659610;0.000000;{"ely_setpoint": 0.47, "fc_setpoint": 0.6}
62;0.698984;732.030;13.465545;15.661637;0.000000;{"ely_setpoint": 0.56, "fc_setpoint": 0.6}
63;0.909593;952.596;12.828161;15.685949;0.000000;{"ely_setpoint": 0.52, "fc_setpoint": 0.64}
64;0.863561;904.388;12.999639;15.712801;0.000000;{"ely_setpoint": 0.54, "fc_setpoint": 0.65}
65;0.724687;758.948;13.456514;15.733359;0.000000;{"ely_setpoint": 0.56, "fc_setpoint": 0.59}
66;0.958228;1003.531;12.724830;15.735423;0.000000;{"ely_setpoint": 0.48, "fc_setpoint": 0.61}
67;0.640036;670.296;13.751917;15.762803;0.000000;{"ely_setpoint": 0.57, "fc_setpoint": 0.62}
68;0.640078;670.339;13.757051;15.768069;0.000000;{"ely_setpoint": 0.57, "fc_setpoint": 0.63}
69;0.822101;860.968;13.190899;15.773803;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.65}
70;0.938498;982.868;12.870046;15.818650;0.000000;{"ely_setpoint": 0.53, "fc_setpoint": 0.65}
71;0.756797;792.576;13.443728;15.821456;0.000000;{"ely_setpoint": 0.56, "fc_setpoint": 0.58}
72;0.984333;1030.870;12.735885;15.828495;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.62}
73;0.975535;1021.656;12.771197;15.836163;0.000000;{"ely_setpoint": 0.5, "fc_setpoint": 0.63}
74;0.669415;701.063;13.742884;15.846074;0.000000;{"ely_setpoint": 0.57, "fc_setpoint": 0.61}
75;0.671215;702.948;13.757379;15.866224;0.000000;{"ely_setpoint": 0.57, "fc_setpoint": 0.64}
76;0.774761;811.390;13.435519;15.869688;0.000000;{"ely_setpoint": 0.56, "fc_setpoint": 0.57}
77;0.980872;1027.245;12.794641;15.876377;0.000000;{"ely_setpoint": 0.51, "fc_setpoint": 0.64}
78;0.774256;810.861;13.446872;15.879455;0.000000;{"ely_setpoint": 0.56, "fc_setpoint": 0.65}
79;0.993083;1040.033;12.810795;15.930895;0.000000;{"ely_setpoint": 0.52, "fc_setpoint": 0.65}
80;0.699470;732.539;13.734105;15.931722;0.000000;{"ely_setpoint": 0.57, "fc_setpoint": 0.6}
81;0.725441;759.738;13.718982;15.998195;0.000000;{"ely_setpoint": 0.57, "fc_setpoint": 0.59}
82;1.063948;1114.249;12.681579;16.024325;0.000000;{"ely_setpoint": 0.47, "fc_setpoint": 0.61}
83;1.071422;1122.076;12.699018;16.065245;0.000000;{"ely_setpoint": 0.48, "fc_setpoint": 0.62}
84;0.757555;793.371;13.702293;16.082404;0.000000;{"ely_setpoint": 0.57, "fc_setpoint": 0.58}
85;1.073282;1124.024;12.715414;16.087487;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.63}
86;0.746565;781.861;13.749243;16.094825;0.000000;{"ely_setpoint": 0.57, "fc_setpoint": 0.65}
87;1.065731;1116.116;12.753900;16.102249;0.000000;{"ely_setpoint": 0.5, "fc_setpoint": 0.64}
88;1.064129;1114.438;12.779704;16.123018;0.000000;{"ely_setpoint": 0.51, "fc_setpoint": 0.65}
89;0.775514;812.178;13.690690;16.127225;0.000000;{"ely_setpoint": 0.57, "fc_setpoint": 0.57}
90;1.141085;1195.033;12.660017;16.245115;0.000000;{"ely_setpoint": 0.47, "fc_setpoint": 0.62}
91;1.142861;1196.892;12.679250;16.269926;0.000000;{"ely_setpoint": 0.48, "fc_setpoint": 0.63}
92;1.164390;1219.440;12.696684;16.355003;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.64}
93;1.156267;1210.932;12.736768;16.369563;0.000000;{"ely_setpoint": 0.5, "fc_setpoint": 0.65}
94;1.228003;1286.059;12.644572;16.502750;0.000000;{"ely_setpoint": 0.47, "fc_setpoint": 0.63}
95;1.249514;1308.588;12.661982;16.587746;0.000000;{"ely_setpoint": 0.48, "fc_setpoint": 0.64}
96;1.267953;1327.899;12.681810;16.665506;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.65}
97;1.337962;1401.218;12.625582;16.829234;0.000000;{"ely_setpoint": 0.47, "fc_setpoint": 0.64}
98;1.351464;1415.358;12.646788;16.892862;0.000000;{"ely_setpoint": 0.48, "fc_setpoint": 0.65}
99;1.443897;1512.160;12.610465;17.146947;0.000000;{"ely_setpoint": 0.47, "fc_setpoint": 0.65}
