# RB2(rb2_extended), 25 ans, VoLL=3.0 EUR/kWh, LPSP charge totale
# Cas nul RB2: LPSP=0.68124% deg=24.69699 kEUR unifie=35.39924 kEUR
# Rang;LPSP[%];EENS[kWh];deg[kEUR];unifie[kEUR];sigma_unifie;parametres
1;0.681244;3567.416;24.696994;35.399241;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.59}
2;0.793558;4155.561;23.625758;36.092441;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.55}
3;0.641988;3361.846;26.105256;36.190794;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.59}
4;0.775693;4062.012;24.208670;36.394705;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.55}
5;0.757324;3965.819;25.435095;37.332551;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.55}
6;0.762490;3992.871;26.954553;38.933165;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.65}
7;1.177115;6164.104;21.300637;39.792949;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.45}
8;1.033837;5413.809;23.908926;40.150351;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.59}
9;1.155843;6052.709;22.538162;40.696288;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.45}
10;1.138535;5962.074;22.901197;40.787419;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.45}
11;1.097961;5749.602;23.860008;41.108813;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.45}
12;1.215700;6366.159;25.148741;44.247219;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.65}
13;1.617144;8468.370;21.432530;46.837640;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.55}
14;1.622784;8497.900;24.133751;49.627453;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.65}
15;1.061993;5561.251;35.873735;52.557488;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.45}
16;0.722873;3785.412;41.626671;52.982906;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.55}
17;0.610218;3195.478;43.992430;53.578864;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.59}
18;0.509595;2668.554;46.815354;54.821015;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.65}
19;2.203450;11538.631;21.371388;55.987280;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.59}
20;1.959372;10260.483;27.700234;58.481685;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.75}
21;2.548973;13348.002;21.549799;61.593804;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.65}
22;2.361547;12366.521;25.733969;62.833533;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.75}
23;2.563589;13424.540;24.731680;65.005301;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.75}
24;2.834835;14844.950;22.250100;66.784951;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.75}
25;1.075538;5632.181;56.269849;73.166392;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.45}
26;1.515303;7935.067;49.853438;73.658639;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.75}
27;0.730669;3826.236;68.972974;80.451683;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.55}
28;0.619195;3242.491;73.477317;83.204789;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.59}
29;3.860906;20218.097;22.859426;83.513718;0.000000;{"ely_setpoint": 0.35, "fc_setpoint": 0.85}
30;3.555051;18616.447;27.966872;83.816212;0.000000;{"ely_setpoint": 0.55, "fc_setpoint": 0.85}
31;3.846888;20144.690;25.266038;85.700109;0.000000;{"ely_setpoint": 0.45, "fc_setpoint": 0.85}
32;3.827879;20045.143;26.169428;86.304858;0.000000;{"ely_setpoint": 0.49, "fc_setpoint": 0.85}
33;0.549752;2878.843;80.964657;89.601185;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.65}
34;3.196145;16736.993;47.994033;98.205011;0.000000;{"ely_setpoint": 0.65, "fc_setpoint": 0.85}
35;1.419892;7435.434;86.730889;109.037192;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.75}
36;3.109387;16282.675;83.300259;132.148284;0.000000;{"ely_setpoint": 0.75, "fc_setpoint": 0.85}
