# Sweep setpoints RB2(SoH) : P=c*Pmax_nom*SoH^gamma - 25 ans ; VoLL=[(None, 3)]
# P_fc_max=1753.06 W  P_ely_max=18430.24 W
# OPTIMUM : c_fc=0.340^+0.0 c_ely=0.220^+0.5 -> unifie=86.1951 kEUR
# meilleure CONSTANTE : c_fc=0.340 c_ely=0.220 -> 86.3733 kEUR
# meilleure SoH-MODULEE : c_fc=0.340^+0.0 c_ely=0.220^+0.5 -> 86.1951 kEUR
# >>> GAIN ATTRIBUABLE AU SoH = +0.1782 kEUR
rang;c_fc;gamma_fc;c_ely;gamma_ely;LPSP(%);deg(kEUR);unifie(kEUR)
1;0.340;0.00;0.220;0.50;3.8938;54.2608;86.1951
2;0.340;0.00;0.220;0.00;3.9070;54.3300;86.3733
3;0.340;0.00;0.220;1.00;3.9502;54.1967;86.5942
4;0.340;0.00;0.220;1.50;4.0172;54.1591;87.1058
5;0.340;0.50;0.220;0.50;3.9962;54.4062;87.1806
6;0.340;0.50;0.220;1.00;4.0184;54.3596;87.3164
7;0.340;0.50;0.220;0.00;4.0104;54.4468;87.3377
8;0.340;0.50;0.220;1.50;4.0280;54.3049;87.3402
9;0.340;0.00;0.220;2.00;4.0863;54.1302;87.6434
10;0.340;0.50;0.220;2.00;4.0860;54.2616;87.7727
11;0.340;0.50;0.220;2.50;4.1208;54.2252;88.0215
12;0.340;1.00;0.220;0.50;4.0960;54.5395;88.1323
13;0.340;0.00;0.220;2.50;4.1492;54.1049;88.1341
14;0.340;1.00;0.220;1.50;4.1179;54.4420;88.2149
15;0.340;1.00;0.220;1.00;4.1141;54.4961;88.2379
16;0.340;1.00;0.220;2.00;4.1288;54.4067;88.2688
17;0.340;1.00;0.220;0.00;4.1086;54.5892;88.2851
18;0.340;0.50;0.220;3.00;4.1739;54.2022;88.4343
19;0.340;1.00;0.220;2.50;4.1696;54.3707;88.5675
20;0.340;0.00;0.220;3.00;4.2095;54.0800;88.6036
21;0.340;1.00;0.220;3.00;4.1982;54.3114;88.7426
22;0.340;1.50;0.220;0.50;4.1986;54.6701;89.1048
23;0.340;1.50;0.220;1.50;4.2221;54.5798;89.2071
24;0.340;1.50;0.220;2.00;4.2272;54.5421;89.2109
25;0.340;1.50;0.220;1.00;4.2203;54.6184;89.2308
26;0.340;1.50;0.220;2.50;4.2371;54.5061;89.2564
27;0.340;1.50;0.220;0.00;4.2127;54.7124;89.2628
28;0.340;1.50;0.220;3.00;4.2564;54.4669;89.3754
29;0.340;2.00;0.220;0.50;4.3017;54.7940;90.0741
30;0.340;2.00;0.220;2.50;4.3253;54.6436;90.1173
31;0.340;2.00;0.220;2.00;4.3229;54.6752;90.1291
32;0.340;2.00;0.220;1.50;4.3186;54.7131;90.1316
33;0.340;2.00;0.220;1.00;4.3215;54.7549;90.1974
34;0.340;2.00;0.220;3.00;4.3412;54.5963;90.1999
35;0.340;2.00;0.220;0.00;4.3118;54.8425;90.2057
