# Sweep base RB2 - 25 ans; secours=0.900/0.225; VoLL=[(None, 3)]
# OPTIMUM base=0.310/0.220; LPSP=1.7978; deg=67.2839; unifie=82.0288
rang;fc_base;ely_base;LPSP(%);deg(kEUR);unifie(kEUR);bat(kEUR);fc(kEUR);ely(kEUR);h2_min_kWh;ely_life_years;ely_first_on_h
1;0.310;0.220;1.7978;67.2839;82.0288;45.3777;3.6152;18.2911;0.0010;12.7758;34160
2;0.300;0.220;1.7917;67.4254;82.1195;45.4323;3.5904;18.4027;0.0010;12.7094;33343
3;0.310;0.230;1.7368;68.0571;82.3013;45.3973;3.6139;19.0459;0.0010;12.2499;32652
4;0.300;0.230;1.7340;68.2080;82.4294;45.4567;3.5894;19.1619;0.0010;12.1951;30750
5;0.320;0.230;1.7847;67.9167;82.5534;45.3456;3.6270;18.9441;0.0002;12.3129;32816
6;0.300;0.210;1.8392;67.4805;82.5649;45.4504;3.5902;18.4400;0.0010;12.6791;33773
7;0.320;0.220;1.8783;67.1830;82.5881;45.3297;3.6268;18.2265;0.0010;12.8170;34247
8;0.310;0.210;1.8579;67.3595;82.5966;45.4004;3.6135;18.3457;0.0010;12.7457;34197
9;0.320;0.210;1.9548;67.2405;83.2723;45.3413;3.6192;18.2800;0.0000;12.7839;34935
10;0.330;0.230;1.9218;67.8119;83.5733;45.3051;3.6396;18.8671;0.0010;12.3613;33422
11;0.330;0.220;2.0564;67.0700;83.9354;45.2755;3.6387;18.1558;0.0010;12.8598;35779
12;0.330;0.210;2.1410;67.1234;84.6825;45.2906;3.6285;18.2043;0.0002;12.8297;36076
13;0.340;0.230;2.1238;67.6750;85.0929;45.2587;3.6448;18.7715;0.0007;12.4301;34669
14;0.340;0.220;2.2612;66.9569;85.5023;45.2255;3.6428;18.0885;0.0002;12.9158;35927
15;0.340;0.210;2.3510;67.0340;86.3153;45.2398;3.6388;18.1553;0.0010;12.8630;36240
