# RB2 reserve - 25 ans; base=0.320/0.220; VoLL=[(None, 3)]
# OPTIMUM secours=0.900/0.225; LPSP=1.8783; deg=67.1830; unifie=82.5881
rang;fc_emergency;ely_emergency;LPSP(%);deg(kEUR);unifie(kEUR);bat(kEUR);fc(kEUR);ely(kEUR);ely_life_years;ely_first_on_h;h2_min_kWh
1;0.900;0.225;1.8783;67.1830;82.5881;45.3297;3.6268;18.2265;12.8170;34247;0.0010
2;0.850;0.225;1.8837;67.1778;82.6266;45.3297;3.6202;18.2278;12.8166;34231;0.0008
3;0.800;0.225;1.8982;67.1640;82.7318;45.3298;3.6004;18.2339;12.8113;34146;0.0010
4;0.900;0.230;1.8084;67.9429;82.7745;45.3297;3.6320;18.9813;12.2903;32717;0.0010
5;0.850;0.230;1.8138;67.9396;82.8151;45.3297;3.6279;18.9820;12.2879;32710;0.0010
6;0.800;0.230;1.8404;67.9274;83.0212;45.3297;3.6111;18.9866;12.2849;32623;0.0010
7;0.900;0.235;1.7625;68.7394;83.1945;45.3297;3.6393;19.7703;11.8323;31423;0.0010
8;0.850;0.235;1.7697;68.7388;83.2528;45.3297;3.6384;19.7706;11.8323;31411;0.0010
9;0.800;0.235;1.8031;68.7166;83.5049;45.3298;3.6120;19.7748;11.8297;31308;0.0010
10;0.900;0.240;1.7303;69.5116;83.7028;45.3296;3.6440;20.5380;11.3894;30020;0.0010
11;0.850;0.240;1.7385;69.5064;83.7647;45.3296;3.6390;20.5378;11.3894;30003;0.0010
12;0.800;0.240;1.7769;69.4784;84.0515;45.3298;3.6124;20.5363;11.3918;29901;0.0006
13;0.900;0.245;1.7125;70.2417;84.2866;45.3296;3.6442;21.2679;11.0115;28890;0.0010
14;0.850;0.245;1.7200;70.2390;84.3457;45.3296;3.6426;21.2669;11.0132;28874;0.0010
15;0.800;0.245;1.7595;70.2064;84.6366;45.3297;3.6126;21.2641;11.0162;28786;0.0010
