# Sweep setpoints RB2 (fixes) - 25 ans ; VoLL=[(None, 3)]
# P_fc_max=1753.06 W  P_ely_max=18430.24 W
# OPTIMUM : fc_frac=0.340 ely_frac=0.220 -> unifie=86.3733 kEUR
rang;fc_frac;ely_frac;LPSP(%);deg(kEUR);unifie(kEUR)
1;0.340;0.220;3.9070;54.3300;86.3733
2;0.360;0.220;3.9624;54.0191;86.5163
3;0.380;0.220;4.1017;53.7770;87.4170
4;0.320;0.200;4.1752;54.4028;88.6451
5;0.400;0.220;4.2774;53.5904;88.6714
6;0.360;0.240;3.5817;59.3409;88.7159
7;0.320;0.220;4.1560;54.6723;88.7574
8;0.380;0.240;3.5917;59.3714;88.8280
9;0.340;0.200;4.2629;54.0712;89.0333
10;0.400;0.240;3.7540;59.3772;90.1651
11;0.360;0.200;4.4550;53.8508;90.3886
12;0.340;0.240;3.7969;59.2770;90.4169
13;0.300;0.180;4.3999;54.4659;90.5513
14;0.300;0.200;4.4372;54.8117;91.2034
15;0.320;0.180;4.5245;54.1165;91.2242
16;0.300;0.220;4.4185;55.0289;91.2666
17;0.380;0.260;3.2579;64.9213;91.6404
18;0.380;0.200;4.6563;53.6744;91.8624
19;0.400;0.260;3.2528;65.2841;91.9614
20;0.340;0.180;4.6635;53.9045;92.1517
21;0.320;0.240;4.0428;59.2624;92.4190
22;0.360;0.260;3.4857;64.4935;93.0809
23;0.280;0.180;4.6912;54.9102;93.3846
24;0.280;0.200;4.7249;55.1820;93.9331
25;0.280;0.220;4.7085;55.3359;93.9525
26;0.400;0.280;2.8867;70.5021;94.1771
27;0.300;0.240;4.2962;59.2168;94.4516
28;0.340;0.260;3.6992;64.1798;94.5188
29;0.380;0.280;3.0976;69.6995;95.1038
30;0.360;0.180;5.0606;53.8189;95.3226
31;0.320;0.260;3.9353;63.7578;96.0327
32;0.400;0.200;5.1761;53.6250;96.0765
33;0.360;0.280;3.3171;69.0740;96.2789
34;0.260;0.180;5.0082;55.3080;96.3827
35;0.280;0.240;4.5857;59.2105;96.8200
36;0.260;0.220;5.0394;55.6982;97.0285
37;0.260;0.200;5.0626;55.5095;97.0302
38;0.340;0.280;3.5186;68.2518;97.1096
39;0.300;0.260;4.1833;63.4434;97.7525
40;0.400;0.300;2.8369;74.6335;97.8999
41;0.320;0.280;3.7339;67.5678;98.1912
42;0.380;0.300;3.0318;73.8036;98.6683
43;0.380;0.180;5.4992;53.7671;98.8685
44;0.360;0.300;3.2351;72.7569;99.2891
45;0.260;0.240;4.9182;59.1796;99.5158
46;0.300;0.280;3.9958;66.9291;99.7000
47;0.280;0.260;4.4763;63.0886;99.8003
48;0.240;0.180;5.3816;55.6870;99.8242
49;0.340;0.300;3.4288;71.8482;99.9693
50;0.240;0.220;5.3764;56.0318;100.1262
51;0.240;0.200;5.4191;55.9398;100.3839
52;0.320;0.300;3.6411;70.8742;100.7362
53;0.280;0.280;4.2556;66.3066;101.2083
54;0.260;0.260;4.7561;62.7572;101.7641
55;0.300;0.300;3.8902;69.9016;101.8070
56;0.240;0.240;5.2246;59.1673;102.0161
57;0.260;0.280;4.5422;65.6704;102.9225
58;0.280;0.300;4.1592;68.9858;103.0968
59;0.220;0.220;5.7031;56.3393;103.1127
60;0.220;0.180;5.7548;56.0108;103.2085
61;0.220;0.200;5.7733;56.2369;103.5864
62;0.400;0.180;6.1021;53.7467;103.7927
63;0.240;0.260;5.0638;62.2794;103.8095
64;0.260;0.300;4.4883;67.8157;104.6262
65;0.220;0.240;5.5774;59.1743;104.9173
66;0.240;0.280;4.8765;64.9840;104.9780
67;0.200;0.220;6.0670;56.7014;106.4595
68;0.220;0.260;5.4121;62.1007;106.4880
69;0.200;0.180;6.1494;56.4497;106.8833
70;0.200;0.200;6.1399;56.5802;106.9365
71;0.240;0.300;4.8402;67.4162;107.1124
72;0.220;0.280;5.2270;64.5812;107.4503
73;0.200;0.240;5.9778;59.3273;108.3536
74;0.220;0.300;5.1991;66.6540;109.2941
75;0.200;0.260;5.8069;61.9961;109.6209
76;0.200;0.280;5.6142;64.1674;110.2122
77;0.200;0.300;5.6079;65.7542;111.7467
