# Sweep setpoints RB2 RICH (base, secours SoC) - 25 ans ; VoLL=[(None, 3)]
# emergency=(0.9,0.225) ; P_fc_max=1753.06 W  P_ely_max=18430.24 W
# OPTIMUM : fc_base=0.300 ely_base=0.220 -> unifie=82.1195 kEUR
rang;fc_base;ely_base;LPSP(%);deg(kEUR);unifie(kEUR)
1;0.300;0.220;1.7917;67.4254;82.1195
2;0.280;0.220;1.8035;67.6875;82.4786
3;0.320;0.220;1.8783;67.1830;82.5881
4;0.300;0.200;1.8808;67.5858;83.0107
5;0.320;0.240;1.7286;68.9477;83.1249
6;0.260;0.220;1.8523;67.9623;83.1539
7;0.300;0.240;1.7047;69.2337;83.2149
8;0.300;0.180;1.8867;67.7954;83.2687
9;0.280;0.200;1.8843;67.8624;83.3161
10;0.280;0.180;1.8818;68.0402;83.4739
11;0.280;0.240;1.7208;69.5257;83.6390
12;0.280;0.160;1.8848;68.2048;83.6628
13;0.240;0.220;1.8971;68.2389;83.7981
14;0.300;0.160;1.9388;67.9824;83.8837
15;0.260;0.200;1.9232;68.1112;83.8845
16;0.260;0.180;1.9091;68.3019;83.9593
17;0.260;0.160;1.9016;68.4516;84.0470
18;0.320;0.200;2.0341;67.3729;84.0551
19;0.320;0.260;1.6079;70.9664;84.1538
20;0.260;0.240;1.7702;69.8194;84.3372
21;0.220;0.220;1.9418;68.5485;84.4739
22;0.240;0.200;1.9699;68.4036;84.5595
23;0.300;0.260;1.6241;71.2595;84.5796
24;0.240;0.180;1.9641;68.5734;84.6819
25;0.240;0.160;1.9460;68.7276;84.6873
26;0.240;0.240;1.8018;70.1196;84.8965
27;0.320;0.180;2.1274;67.5583;85.0061
28;0.280;0.260;1.6553;71.5797;85.1555
29;0.220;0.200;2.0174;68.6655;85.2114
30;0.220;0.180;2.0056;68.8182;85.2667
31;0.340;0.260;1.7768;70.7106;85.2830
32;0.340;0.240;2.0202;68.7165;85.2849
33;0.220;0.160;1.9913;68.9556;85.2868
34;0.320;0.280;1.5117;73.0483;85.4466
35;0.340;0.220;2.2612;66.9569;85.5023
36;0.220;0.240;1.8481;70.3862;85.5434
37;0.260;0.260;1.6827;71.8484;85.6493
38;0.340;0.280;1.6052;72.7536;85.9188
39;0.300;0.280;1.5385;73.4111;86.0292
40;0.240;0.260;1.7225;72.1124;86.2396
41;0.320;0.160;2.2789;67.7119;86.4018
42;0.280;0.280;1.5698;73.6456;86.5205
43;0.220;0.260;1.7652;72.3459;86.8233
44;0.340;0.300;1.5055;74.6606;87.0076
45;0.260;0.280;1.6039;73.8543;87.0082
46;0.320;0.300;1.4706;74.9999;87.0610
47;0.340;0.200;2.4588;67.1463;87.3122
48;0.240;0.280;1.6444;74.1191;87.6056
49;0.300;0.300;1.5040;75.3123;87.6470
50;0.220;0.280;1.6912;74.2048;88.0752
51;0.360;0.260;2.1581;70.4346;88.1337
52;0.280;0.300;1.5357;75.5516;88.1463
53;0.360;0.240;2.4002;68.5186;88.2034
54;0.360;0.280;1.9350;72.4785;88.3484
55;0.340;0.180;2.5676;67.3328;88.3908
56;0.360;0.220;2.6500;66.7469;88.4810
57;0.360;0.300;1.7414;74.3961;88.6781
58;0.260;0.300;1.5750;75.7677;88.6847
59;0.240;0.300;1.6270;75.9767;89.3205
60;0.220;0.300;1.6766;75.9089;89.6596
61;0.340;0.160;2.7110;67.5019;89.7364
62;0.360;0.200;2.8241;66.9833;90.1448
63;0.380;0.220;2.9666;66.5695;90.8995
64;0.380;0.240;2.7740;68.2731;91.0238
65;0.380;0.260;2.5509;70.1945;91.1158
66;0.380;0.280;2.3323;72.2052;91.3336
67;0.360;0.180;2.9507;67.1592;91.3589
68;0.380;0.300;2.1118;74.1162;91.4363
69;0.380;0.200;3.1763;66.7997;92.8502
70;0.360;0.160;3.1273;67.3282;92.9767
71;0.400;0.240;3.0509;68.0875;93.1093
72;0.400;0.220;3.2571;66.4122;93.1252
73;0.400;0.260;2.8597;69.9538;93.4071
74;0.400;0.280;2.6883;71.9009;93.9491
75;0.380;0.180;3.2937;66.9820;93.9952
76;0.400;0.300;2.5588;73.7978;94.7834
77;0.400;0.200;3.5073;66.6354;95.4003
78;0.380;0.160;3.4554;67.1812;95.5204
79;0.420;0.260;3.2309;69.7595;96.2576
80;0.420;0.240;3.4952;67.8753;96.5409
81;0.420;0.280;3.0409;71.6740;96.6137
82;0.420;0.220;3.7538;66.2644;97.0508
83;0.420;0.300;2.8802;73.5013;97.1229
84;0.400;0.180;3.7064;66.8455;97.2435
85;0.400;0.160;3.9872;67.0215;99.7221
86;0.420;0.200;4.0841;66.4995;99.9952
87;0.440;0.280;3.5651;71.4153;100.6545
88;0.440;0.300;3.3562;73.2094;100.7350
89;0.440;0.260;3.8117;69.5695;100.8307
90;0.440;0.240;4.0824;67.7294;101.2106
91;0.440;0.220;4.3573;66.1633;101.8997
92;0.420;0.180;4.3048;66.7695;102.0752
93;0.440;0.200;4.6448;66.4370;104.5309
94;0.420;0.160;4.6003;66.9829;104.7119
95;0.440;0.180;4.9037;66.7035;106.9208
96;0.440;0.160;5.1151;66.9217;108.8732
