# OPTIMUM soc_high=0.995; ely_emergency=0.240; LPSP=1.7385; deg=69.5064; unifie=83.7647
rank;soc_high;ely_emergency;LPSP;deg;unified;bat;fc;ely;h2_min
1;0.995;0.240;1.7385;69.5064;83.7647;45.3296;3.6390;20.5378;0.0010
2;0.900;0.240;1.7429;69.7651;84.0593;45.4098;3.6131;20.7422;0.0010
3;0.700;0.240;1.8294;70.3524;85.3564;45.5753;3.5746;21.2025;0.0010
4;0.500;0.240;2.0204;71.3092;87.8794;46.0197;3.5149;21.7746;0.0010
5;0.350;0.240;2.3782;71.2823;90.7867;47.0503;3.1918;21.0402;0.0010
6;0.995;0.400;1.6387;82.3638;95.8032;45.3309;3.6505;33.3824;0.0010
7;0.995;1.000;1.6387;82.6112;96.0506;45.3309;3.6505;33.6298;0.0010
8;0.900;0.400;1.6767;82.7713;96.5227;45.3943;3.6193;33.7577;0.0010
9;0.900;1.000;1.6821;82.8584;96.6538;45.2115;3.6270;34.0199;0.0010
10;0.700;0.400;1.7975;82.6756;97.4180;45.5086;3.5892;33.5779;0.0010
11;0.700;1.000;1.9016;82.6699;98.2658;44.4997;3.6436;34.5267;0.0010
12;0.995;0.600;1.6387;85.1339;98.5735;45.3309;3.6505;36.1526;0.0010
13;0.900;0.600;1.6790;84.9442;98.7140;45.3678;3.6190;35.9574;0.0010
14;0.500;0.400;2.0441;82.1228;98.8877;45.8865;3.5179;32.7184;0.0010
15;0.350;0.400;2.4498;79.7425;99.8345;46.9669;3.2049;29.5707;0.0010
16;0.700;0.600;1.8090;85.1920;100.0284;45.3442;3.5892;36.2586;0.0010
17;0.500;0.600;2.0734;84.2218;101.2267;45.5224;3.5458;35.1536;0.0010
18;0.500;1.000;2.3856;81.9782;101.5434;44.0982;3.7160;34.1640;0.0010
19;0.350;0.600;2.5725;81.3538;102.4522;46.2524;3.2695;31.8318;0.0010
20;0.350;1.000;3.2716;79.2278;106.0594;44.7789;3.4333;31.0156;0.0010
