# RB2(SoH) generalisee SoH^gamma — 25 ans — estimateur metrics() commun
# RB2 = sous-ensemble (g_fc=g_ely=0) ; RB2(SoH) = (g_fc=g_ely=1)
# REF_RB2=(0.45, 0.33) -> LPSP_nominale=2.4540%
c_fc;c_ely;g_fc;g_ely;LPSP_%;deg_kEUR;vie_bat;vie_fc;vie_ely
0.550;0.450;0.0;0.0;1.7097;104.62;4.028424657534247;12.529566210045662;3.957876712328767
0.550;0.450;1.0;1.0;1.8926;98.20;4.018835616438356;12.511529680365296;4.349543378995434
0.550;0.450;1.0;0.0;1.8970;102.57;4.017579908675799;12.511529680365296;4.012442922374429
0.550;0.450;0.0;1.0;1.9179;100.54;4.028995433789954;12.567808219178081;4.292009132420091
0.550;0.400;1.0;0.0;2.0419;89.51;4.021575342465753;12.533447488584475;5.223401826484018
0.550;0.450;2.0;1.0;2.0517;96.00;4.009246575342465;12.530707762557077;4.423630136986302
0.550;0.450;2.0;0.0;2.0521;99.69;4.007990867579909;12.530707762557077;4.103082191780822
0.550;0.450;1.0;2.0;2.1027;93.85;4.020205479452055;12.541666666666666;4.798744292237442
0.550;0.400;2.0;0.0;2.1138;87.89;4.012100456621004;12.53892694063927;5.2976027397260275
0.550;0.450;2.0;2.0;2.1321;92.15;4.011986301369863;12.53892694063927;4.861986301369863
0.475;0.450;0.0;1.0;2.1674;94.57;3.9215753424657533;12.552625570776256;4.938356164383562
0.475;0.450;0.0;0.0;2.1730;97.64;3.9214611872146117;12.552625570776256;4.568721461187215
0.475;0.450;0.0;2.0;2.1782;90.52;3.924771689497717;12.552625570776256;5.374200913242009
0.475;0.400;0.0;0.0;2.1933;86.72;3.9280821917808217;12.552625570776256;5.804109589041095
0.475;0.360;0.0;0.0;2.2074;75.94;3.9378995433789954;12.552625570776256;7.924657534246575
0.475;0.400;0.0;1.0;2.2212;83.78;3.9381278538812783;12.552625570776256;6.385273972602739
0.550;0.400;2.0;1.0;2.2485;84.54;4.013356164383562;12.560844748858447;5.93824200913242
0.475;0.400;0.0;2.0;2.3057;78.96;3.9391552511415524;12.560844748858447;7.231849315068493
0.550;0.450;0.0;2.0;2.3382;94.99;4.029680365296803;12.619977168949772;4.752397260273972
0.475;0.450;1.0;1.0;2.3529;92.69;3.9172374429223744;12.559703196347032;5.026027397260274
0.475;0.450;1.0;0.0;2.3564;95.81;3.9160958904109586;12.559703196347032;4.645433789954338
0.475;0.360;0.0;1.0;2.3641;71.70;3.928310502283105;12.571803652968036;9.146803652968035
0.475;0.450;1.0;2.0;2.3739;88.69;3.9189497716894977;12.559703196347032;5.478424657534246
0.475;0.400;1.0;0.0;2.3856;85.58;3.9228310502283104;12.559703196347032;5.944063926940639
0.550;0.400;1.0;1.0;2.3893;85.22;4.022716894977169;12.582648401826484;5.8342465753424655
0.475;0.360;1.0;0.0;2.3974;75.63;3.924771689497717;12.559703196347032;8.094748858447488
0.475;0.360;1.0;1.0;2.4010;71.21;3.924429223744292;12.559703196347032;9.352397260273973
0.475;0.400;1.0;1.0;2.4143;81.93;3.9255707762557077;12.559703196347032;6.527739726027397
0.475;0.400;1.0;2.0;2.4171;78.01;3.9273972602739726;12.559703196347032;7.401712328767123
0.550;0.400;0.0;0.0;2.4530;90.91;4.031506849315068;12.647374429223744;5.163356164383561
0.475;0.330;1.0;0.0;2.4707;64.76;3.9421232876712327;12.565182648401827;12.878424657534246
0.550;0.400;2.0;2.0;2.5097;79.49;4.01324200913242;12.58538812785388;6.831506849315068
0.550;0.360;2.0;0.0;2.5106;75.94;4.009246575342465;12.593721461187215;7.629109589041096
0.475;0.360;1.0;2.0;2.5161;67.38;3.9255707762557077;12.573401826484018;11.385159817351598
