# horizon=15ans r=0.05 AF=0.6920 VOLL=5.0EUR/kWh
phase;BAT_kWh;FC_kW;ELY_kW;f_fc;f_ely;LPSP_%;E_nonservie_kWh;NPC_k€;VOLL_cost_k€;total_econ_k€;BoP_k€;deg_k€;vie_bat;vie_fc;vie_ely
1;30;1.50;4.00;0.60;0.50;33.2451;81740;44.54;282.81;327.35;11.16;48.24;3.5582191780821915;11.942351598173516;2.1662100456621003
1;30;1.50;8.00;0.60;0.50;22.0297;54165;64.27;187.40;251.68;19.13;65.23;3.574771689497717;7.504337899543379;2.461986301369863
1;30;1.50;12.00;0.60;0.50;12.2418;30099;82.24;104.14;186.38;27.11;79.68;3.5172374429223745;5.715410958904109;2.727739726027397
1;30;1.50;16.00;0.60;0.50;7.8157;19217;94.81;66.49;161.29;35.08;86.31;3.508904109589041;5.131849315068493;3.2702054794520548
1;30;2.50;4.00;0.60;0.50;32.8880;80862;46.62;279.77;326.40;12.99;48.61;3.546232876712329;17.41837899543379;2.1662100456621003
1;30;2.50;8.00;0.60;0.50;21.6928;53337;66.53;184.54;251.07;20.96;65.86;3.563812785388128;10.70376712328767;2.470205479452055
1;30;2.50;12.00;0.60;0.50;13.6006;33440;82.49;115.70;198.19;28.93;77.40;3.506278538812785;8.436301369863013;2.916780821917808
1;30;2.50;16.00;0.60;0.50;9.7318;23928;94.19;82.79;176.97;36.91;82.78;3.491552511415525;7.672374429223744;3.541324200913242
1;30;3.50;4.00;0.60;0.50;31.5832;77654;48.79;268.68;317.46;14.81;49.10;3.5172374429223745;21.687214611872147;2.168835616438356
1;30;3.50;8.00;0.60;0.50;20.2704;49839;68.51;172.44;240.95;22.78;66.09;3.5381278538812784;14.862785388127854;2.470205479452055
1;30;3.50;12.00;0.60;0.50;12.3141;30277;84.32;104.75;189.07;30.76;77.40;3.4761415525114154;12.117237442922374;2.916780821917808
1;30;3.50;16.00;0.60;0.50;11.9013;29262;93.24;101.24;194.48;38.73;78.77;3.4641552511415523;12.023972602739725;3.853767123287671
1;50;1.50;4.00;0.60;0.50;27.3110;67150;53.66;232.33;285.99;11.46;60.98;3.970890410958904;11.942351598173516;2.1662100456621003
1;50;1.50;8.00;0.60;0.50;15.9563;39232;73.42;135.74;209.16;19.43;78.02;3.982077625570776;7.504337899543379;2.461986301369863
1;50;1.50;12.00;0.60;0.50;6.4350;15822;91.30;54.74;146.04;27.41;92.34;3.952054794520548;5.715410958904109;2.727739726027397
1;50;1.50;16.00;0.60;0.50;2.0118;4946;103.91;17.11;121.02;35.38;99.03;3.9393835616438353;5.131849315068493;3.2702054794520548
1;50;2.50;4.00;0.60;0.50;25.7049;63201;55.71;218.67;274.38;13.29;61.30;3.9639269406392694;17.41837899543379;2.1662100456621003
1;50;2.50;8.00;0.60;0.50;14.3907;35383;75.62;122.42;198.04;21.26;78.56;3.9779680365296803;10.70376712328767;2.470205479452055
1;50;2.50;12.00;0.60;0.50;6.4991;15979;91.54;55.29;146.82;29.23;90.04;3.9393835616438353;8.436301369863013;2.916780821917808
1;50;2.50;16.00;0.60;0.50;2.7036;6647;103.26;23.00;126.26;37.21;95.46;3.9133561643835617;7.672374429223744;3.541324200913242
1;50;3.50;4.00;0.60;0.50;22.3156;54868;58.15;189.84;247.99;15.11;62.20;3.894520547945205;21.687214611872147;2.168835616438356
1;50;3.50;8.00;0.60;0.50;10.9302;26874;77.86;92.98;170.84;23.08;79.15;3.9160958904109586;14.862785388127854;2.470205479452055
1;50;3.50;12.00;0.60;0.50;3.1704;7795;93.59;26.97;120.56;31.06;90.37;3.8791095890410956;12.117237442922374;2.916780821917808
1;50;3.50;16.00;0.60;0.50;2.7987;6881;102.57;23.81;126.38;39.03;91.82;3.8485159817351597;12.023972602739725;3.853767123287671
1;70;1.50;4.00;0.60;0.50;26.2604;64567;59.25;223.39;282.64;11.76;68.63;4.6284246575342465;11.942351598173516;2.1662100456621003
