# Cout unifie = deg + VoLL*(LPSP/100)*E_REF/1000  (voll_common.py)
# VoLL=[(None, 3)]  E_REF_KWH=273380.731  -> 8.2014 kEUR par point de LPSP
rang;kind;soc_low;soc_high;LPSP(%);deg(kEUR);coutLPSP(kEUR);total(kEUR)
1;RB1_sweep;0.200;0.350;1.7307;71.0565;14.1942;85.2507
2;RB1_sweep;0.200;0.400;1.5589;72.4763;12.7852;85.2615
3;RB1_sweep;0.150;0.450;1.6897;71.6838;13.8579;85.5417
4;RB1_sweep;0.150;0.500;1.4822;73.6233;12.1561;85.7794
5;RB1_sweep;0.200;0.450;1.4431;73.9669;11.8355;85.8024
6;RB1_sweep;0.150;0.400;2.0545;69.8829;16.8498;86.7327
7;RB1_sweep;0.200;0.500;1.3572;75.8103;11.1310;86.9413
8;RB1_sweep;0.100;0.500;1.8903;71.5375;15.5031;87.0406
9;RB1_sweep;0.100;0.450;2.3013;69.4230;18.8739;88.2969
10;RB1_sweep;0.050;0.500;2.3525;69.8152;19.2938;89.1090
11;RB1_sweep;0.250;0.400;1.8067;74.9826;14.8175;89.8001
12;RB1_sweep;0.150;0.350;2.7652;67.2020;22.6786;89.8806
13;RB1_sweep;0.250;0.450;1.6139;76.6445;13.2363;89.8808
14;RB1_old;0.200;0.600;1.2596;80.1606;10.3305;90.4911
15;RB1_sweep;0.250;0.500;1.4946;78.6529;12.2578;90.9107
16;RB1_sweep;0.100;0.400;2.9896;66.9216;24.5190;91.4406
17;RB1_sweep;0.050;0.450;2.9569;67.5684;24.2508;91.8192
18;RB1_sweep;0.300;0.500;1.7363;82.3621;14.2401;96.6022
19;RB1_sweep;0.300;0.450;1.9460;80.7964;15.9600;96.7564
20;RB1_sweep;0.050;0.400;3.8728;65.0644;31.7625;96.8269
21;RB1_sweep;0.150;0.300;4.1032;63.5119;33.6521;97.1640
22;RB1_sweep;0.100;0.350;4.1224;63.9912;33.8095;97.8007
23;RB1_sweep;0.050;0.350;5.1973;62.3078;42.6253;104.9331
24;RB1_sweep;0.100;0.300;5.8739;60.6138;48.1743;108.7881
25;RB1_sweep;0.050;0.300;7.0286;59.2412;57.6445;116.8857
26;RB1_default;0.400;0.750;1.8182;102.0350;14.9118;116.9468

# MIN cout unifie : SoC_low=0.200 SoC_high=0.350 -> total=85.2507 kEUR
# RB1 actuelle (0.40/0.75) : total=116.9468 kEUR (ecart best -31.6961 kEUR)
