# RB2(SoH) min deg s.c. LPSP<=2.6921% — dim FIXE — N~25.00ans BoP_fixe=40.71k€ (constant)
# base=(0.475,0.33)
phase;coef_fc;coef_ely;faisable;LPSP_%;deg_k€;NPC_k€;E_nonservie_kWh;vie_bat;vie_fc;vie_ely
1;0.420;0.300;0;2.8452;52.17;70.13;7778;3.8914383561643833;12.65958904109589;None
1;0.420;0.310;0;2.8639;52.84;70.51;7829;3.8926940639269407;12.65958904109589;None
1;0.420;0.320;0;2.8740;55.57;72.04;7857;3.89486301369863;12.65958904109589;None
1;0.420;0.330;0;2.8855;57.76;73.28;7888;3.8926940639269407;12.65958904109589;21.283561643835615
1;0.420;0.340;0;2.8680;60.24;74.67;7840;3.8885844748858447;12.65958904109589;16.55513698630137
1;0.420;0.360;0;2.8475;67.00;78.48;7784;3.8813926940639267;12.65958904109589;11.897374429223744
1;0.450;0.300;0;2.7347;51.55;69.78;7476;3.9106164383561643;12.610159817351597;None
1;0.450;0.310;1;2.6413;51.96;70.01;7221;3.9133561643835617;12.596575342465753;None
1;0.450;0.320;1;2.6185;54.45;71.41;7158;3.9146118721461187;12.596575342465753;None
1;0.450;0.330;1;2.6285;57.43;73.09;7186;3.914497716894977;12.596575342465753;21.689383561643837
1;0.450;0.340;1;2.6179;60.19;74.65;7157;3.907876712328767;12.596575342465753;16.248173515981733
1;0.450;0.360;1;2.5946;67.39;78.70;7093;3.903538812785388;12.596575342465753;11.388013698630136
1;0.475;0.300;0;2.9887;50.99;69.46;8170;3.928310502283105;12.658333333333333;None
1;0.475;0.310;0;2.8231;51.26;69.61;7717;3.940753424657534;12.617237442922374;None
1;0.475;0.320;1;2.6725;53.48;70.86;7306;3.942009132420091;12.584474885844749;None
1;0.475;0.330;1;2.6087;57.07;72.89;7131;3.942009132420091;12.565182648401827;22.11107305936073
1;0.475;0.340;1;2.4884;59.99;74.54;6803;3.9280821917808217;12.559703196347032;16.100456621004565
1;0.475;0.360;1;2.3961;67.60;78.82;6550;3.9245433789954336;12.559703196347032;11.006735159817351
1;0.500;0.300;0;3.3779;50.46;69.16;9234;3.961187214611872;12.723972602739726;None
1;0.500;0.310;0;3.1629;50.58;69.23;8646;3.9638127853881278;12.696689497716894;None
1;0.500;0.320;0;2.9602;52.44;70.28;8092;3.9640410958904106;12.652853881278538;None
1;0.500;0.330;0;2.8456;56.70;72.68;7779;3.964954337899543;12.619977168949772;22.519406392694062
1;0.500;0.340;1;2.6686;59.75;74.40;7295;3.959931506849315;12.603538812785388;16.006963470319633
1;0.500;0.360;1;2.3908;67.80;78.94;6536;3.958333333333333;12.559703196347032;10.656392694063927
1;0.530;0.300;0;4.0670;50.01;68.91;11118;3.9821917808219176;12.854109589041096;None
1;0.530;0.310;0;3.7022;49.98;68.89;10121;3.988470319634703;12.780022831050228;None
1;0.530;0.320;0;3.4814;51.34;69.66;9517;3.9939497716894974;12.733561643835616;None
1;0.530;0.330;0;3.3256;56.15;72.37;9091;3.9972602739726026;12.703424657534246;23.198858447488583
1;0.530;0.340;0;3.1815;59.30;74.15;8697;3.990296803652968;12.682990867579909;15.996232876712329
1;0.530;0.360;0;2.8004;67.86;78.97;7655;3.991095890410959;12.634931506849314;10.371575342465754
2;0.440;0.290;0;2.8710;51.55;69.78;7848;3.9034246575342464;12.639155251141553;None
2;0.440;0.300;0;2.7035;51.77;69.90;7391;3.903767123287671;12.62283105022831;None
2;0.440;0.310;1;2.6827;52.26;70.18;7334;3.9063926940639266;12.62283105022831;None
2;0.440;0.320;0;2.6985;54.76;71.59;7377;3.907876712328767;12.62283105022831;None
2;0.450;0.290;0;2.9556;51.33;69.65;8080;3.9092465753424657;12.637557077625571;None
2;0.460;0.290;0;3.0441;51.11;69.52;8322;3.9160958904109586;12.662328767123288;None
2;0.460;0.300;0;2.8209;51.34;69.65;7712;3.9174657534246573;12.611757990867579;None
2;0.460;0.310;1;2.6595;51.68;69.85;7270;3.920662100456621;12.587100456621004;None
2;0.460;0.320;1;2.5710;54.07;71.20;7028;3.9226027397260275;12.573401826484018;None
