# SoH-attribution : P_*=c*Pmax_nom*SoH^gamma - 25 ans ; VoLL=[(None, 3)]
rang;c_fc;gamma_fc;c_ely;gamma_ely;LPSP(%);deg(kEUR);total(kEUR)
1;0.440;1.00;0.310;2.00;2.9089;54.9115;78.7682
2;0.440;0.00;0.335;3.00;3.0146;54.9893;79.7135
3;0.440;0.00;0.310;2.00;3.0843;54.4628;79.7585
4;0.440;2.00;0.310;2.00;2.9922;55.3554;79.8960
5;0.440;0.00;0.320;2.00;2.9562;55.7068;79.9520
6;0.440;0.00;0.320;1.00;2.6253;58.4846;80.0158
7;0.440;0.00;0.310;0.00;2.5920;58.8499;80.1081
8;0.440;0.00;0.310;0.50;2.6807;58.2253;80.2104
9;0.440;0.00;0.320;0.50;2.5475;59.3644;80.2577
10;0.440;0.00;0.310;1.00;2.8128;57.3685;80.4376
11;0.440;0.00;0.300;1.00;3.0274;55.6217;80.4507
12;0.440;0.00;0.320;3.00;3.1905;54.4128;80.5796
13;0.440;0.00;0.300;0.00;2.7538;58.0290;80.6140
14;0.440;0.00;0.300;-1.00;2.6374;59.0515;80.6818
15;0.440;0.00;0.300;0.50;2.8782;57.2479;80.8534
16;0.440;0.00;0.310;-1.00;2.5117;60.6062;81.2057
17;0.440;0.00;0.320;0.00;2.5208;60.5896;81.2639
18;0.440;0.00;0.300;2.00;3.2924;54.3051;81.3076
19;0.440;0.00;0.335;2.00;2.7128;59.0644;81.3132
20;0.440;0.00;0.310;3.00;3.3645;54.2941;81.8877
21;0.440;-1.00;0.310;2.00;3.5567;54.0426;83.2126
22;0.440;0.00;0.335;5.00;3.5427;54.3482;83.4031
23;0.440;0.00;0.335;1.00;2.5449;62.9116;83.7836
24;0.440;0.00;0.300;3.00;3.6138;54.1771;83.8156
25;0.440;0.00;0.320;5.00;3.8019;54.2186;85.4000
26;0.440;0.00;0.320;-1.00;2.5104;64.9225;85.5116
27;0.450;0.00;0.330;0.00;2.4540;65.4218;85.5482
28;0.440;0.00;0.335;0.50;2.5172;65.7013;86.3460
29;0.440;0.00;0.335;0.00;2.4993;66.7573;87.2551
30;0.440;0.00;0.310;5.00;4.0462;54.1340;87.3189
31;0.440;0.00;0.335;-1.00;2.5010;68.5651;89.0765
32;0.440;0.00;0.300;5.00;4.3005;54.0677;89.3380

# meilleure CONSTANTE (sans SoH) : c_fc=0.440 c_ely=0.310 -> 80.1081 kEUR
# meilleure SoH-MODULEE : c_fc=0.440^+1.0 c_ely=0.310^+2.0 -> 78.7682 kEUR
# >>> GAIN PUR ATTRIBUABLE AU SoH = +1.3398 kEUR (+1.67%)
