# Sweep seuils RB1 (SoC_low, SoC_high), simu nominale 25 ans
# MIN_GAP=0.15  RB1_DEFAULT=(0.4, 0.75)  RB1_OLD=(0.2, 0.6)
kind;soc_low;soc_high;LPSP(%);Cost(kEUR)
RB1_sweep;0.050;0.300;7.0286;59.2412
RB1_sweep;0.050;0.350;5.1973;62.3078
RB1_sweep;0.050;0.400;3.8728;65.0644
RB1_sweep;0.050;0.450;2.9569;67.5684
RB1_sweep;0.050;0.500;2.3525;69.8152
RB1_sweep;0.100;0.300;5.8739;60.6138
RB1_sweep;0.100;0.350;4.1224;63.9912
RB1_sweep;0.100;0.400;2.9896;66.9216
RB1_sweep;0.100;0.450;2.3013;69.4230
RB1_sweep;0.100;0.500;1.8903;71.5375
RB1_sweep;0.150;0.300;4.1032;63.5119
RB1_sweep;0.150;0.350;2.7652;67.2020
RB1_sweep;0.150;0.400;2.0545;69.8829
RB1_sweep;0.150;0.450;1.6897;71.6838
RB1_sweep;0.150;0.500;1.4822;73.6233
RB1_sweep;0.200;0.350;1.7307;71.0565
RB1_sweep;0.200;0.400;1.5589;72.4763
RB1_sweep;0.200;0.450;1.4431;73.9669
RB1_sweep;0.200;0.500;1.3572;75.8103
RB1_old;0.200;0.600;1.2596;80.1606
RB1_sweep;0.250;0.400;1.8067;74.9826
RB1_sweep;0.250;0.450;1.6139;76.6445
RB1_sweep;0.250;0.500;1.4946;78.6529
RB1_sweep;0.300;0.450;1.9460;80.7964
RB1_sweep;0.300;0.500;1.7363;82.3621
RB1_default;0.400;0.750;1.8182;102.0350
