figure;strategie;EENS_mean_MWh;cout_hors_defaillance_mean_kEUR;cout_total_mean_kEUR
P1;RB2;8.907735394;64.926760970;91.649967152
P1;RB2(Recale);7.292364279;68.831882942;90.708975778
P1;RB2(Sched);8.023908368;65.989249689;90.060974792
P1;RB2(SoH);7.965298944;65.449049789;89.344946622
P3_T6_C1.5;instant;7.965298944;82.879049789;106.774946622
P3_T6_C1.5;corrective;9.471707868;79.129410900;107.544534504
P3_T6_C1.5;calendar;9.077945934;80.321609258;107.555447059
P3_T6_C1.5;rul;8.163214193;80.429778105;104.919420686
P4;base_N0;7.950679978;58.041433628;81.893473563
P4;minoff_N8;7.755729088;57.542544850;80.809732115
P4;noisy_N4;7.729462270;57.234618520;80.423005329
P4;omni_N4;7.324415601;57.458266503;79.431513307
