# Sweep setpoints RB2(SoH) : P=c*Pmax_nom*SoH^gamma - 25 ans ; VoLL=[(None, 3)]
# P_fc_max=1753.06 W  P_ely_max=18430.24 W
# OPTIMUM : c_fc=0.400^+0.5 c_ely=0.260^+0.0 -> unifie=109.1289 kEUR
# meilleure CONSTANTE : c_fc=0.400 c_ely=0.260 -> 109.3276 kEUR
# meilleure SoH-MODULEE : c_fc=0.400^+0.5 c_ely=0.260^+0.0 -> 109.1289 kEUR
# >>> GAIN ATTRIBUABLE AU SoH = +0.1987 kEUR
rang;c_fc;gamma_fc;c_ely;gamma_ely;LPSP(%);deg(kEUR);unifie(kEUR)
1;0.400;0.50;0.260;0.00;3.1936;82.9367;109.1289
2;0.400;0.00;0.260;0.00;3.2499;82.6739;109.3276
3;0.400;0.50;0.260;0.50;3.3243;82.6434;109.9073
4;0.400;1.00;0.260;0.00;3.2699;83.1919;110.0094
5;0.400;0.00;0.260;0.50;3.3901;82.3683;110.1722
6;0.400;1.00;0.260;0.50;3.3429;82.8478;110.2645
7;0.400;0.50;0.260;1.00;3.4392;82.3761;110.5825
8;0.400;1.00;0.260;1.00;3.4216;82.6068;110.6689
9;0.400;1.50;0.260;0.00;3.3822;83.3610;111.0997
10;0.400;0.00;0.260;1.00;3.5265;82.1796;111.1017
11;0.400;1.00;0.260;1.50;3.5256;82.3430;111.2576
12;0.400;0.50;0.260;1.50;3.5638;82.1207;111.3490
13;0.400;1.50;0.260;0.50;3.4537;83.0886;111.4135
14;0.400;1.50;0.260;1.00;3.5171;82.8612;111.7068
15;0.400;0.00;0.260;1.50;3.6309;81.9288;111.7077
16;0.400;1.00;0.260;2.00;3.6301;82.0440;111.8160
17;0.400;1.50;0.260;1.50;3.5923;82.5951;112.0568
18;0.400;0.50;0.260;2.00;3.6839;81.8588;112.0718
19;0.400;2.00;0.260;0.00;3.4594;83.7047;112.0765
20;0.400;2.00;0.260;0.50;3.5165;83.3782;112.2182
21;0.400;2.00;0.260;1.00;3.5649;83.1107;112.3482
22;0.400;0.00;0.260;2.00;3.7533;81.6739;112.4566
23;0.400;1.50;0.260;2.00;3.6804;82.3046;112.4895
24;0.400;1.00;0.260;2.50;3.7475;81.7888;112.5234
25;0.400;2.00;0.260;1.50;3.6256;82.8681;112.6034
26;0.400;0.50;0.260;2.50;3.7951;81.6099;112.7353
27;0.400;2.00;0.260;2.00;3.6961;82.5718;112.8855
28;0.400;1.50;0.260;2.50;3.7690;82.0385;112.9498
29;0.400;2.00;0.260;2.50;3.7703;82.2620;113.1837
30;0.400;0.00;0.260;2.50;3.8774;81.4363;113.2366
31;0.400;1.00;0.260;3.00;3.8714;81.5404;113.2916
32;0.400;1.50;0.260;3.00;3.8642;81.7760;113.4682
33;0.400;0.50;0.260;3.00;3.9130;81.3862;113.4782
34;0.400;2.00;0.260;3.00;3.8550;81.9837;113.5998
35;0.400;0.00;0.260;3.00;4.0377;81.2398;114.3548
