# Valeur de la RUL -- maintenance insulaire (fenetres de visite + cout fixe)
# horizon=25 ans | N_MC=200 | mult U_log[0.50,2.00] | seed=2026 | VoLL=3.0 | Tvisite=3m | marge=1 | prev=fc+ely
# strategie de conduite FIXE : RB2(SoH) ; politiques : ['instant', 'corrective', 'calendar', 'rul']
# ages calendaires de ref (nominal x 1.00) : {'bat': 3.89, 'fc': 5.52, 'ely': None}
# cout total = uni0 + C_visite*n_interventions + gaspillage ; C_visite en post-proc
# TEST NUL instant==base : OK (ecart 0.000e+00 kEUR)

## Points nominaux (multiplicateurs = 1)
policy;lpsp;deg;uni0;nint;nprev;waste;wbat;wfc;wely;outfc;outely
instant;2.9099;58.024;81.889;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
corrective;3.1078;57.460;82.948;10.000;0.000;0.000;0.000;0.000;0.000;7467.000;0.000
calendar;2.9589;57.762;82.029;10.000;4.000;0.039;0.000;0.039;0.000;0.000;0.000
rul;2.9589;57.762;82.029;10.000;4.000;0.039;0.000;0.039;0.000;0.000;0.000

## Tirages (mondes perturbes, 200 complets)
draw;m_fc_a;m_fc_b;m_fc_s;m_ely_a;m_ely_b;m_ely_s;m_bat;instant_lpsp;instant_deg;instant_uni0;instant_nint;instant_nprev;instant_waste;instant_wbat;instant_wfc;instant_wely;instant_outfc;instant_outely;corrective_lpsp;corrective_deg;corrective_uni0;corrective_nint;corrective_nprev;corrective_waste;corrective_wbat;corrective_wfc;corrective_wely;corrective_outfc;corrective_outely;calendar_lpsp;calendar_deg;calendar_uni0;calendar_nint;calendar_nprev;calendar_waste;calendar_wbat;calendar_wfc;calendar_wely;calendar_outfc;calendar_outely;rul_lpsp;rul_deg;rul_uni0;rul_nint;rul_nprev;rul_waste;rul_wbat;rul_wfc;rul_wely;rul_outfc;rul_outely
0;0.6408;1.2140;0.9556;0.8357;0.8178;1.4959;1.7536;2.9521;94.154;118.365;15.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0532;93.798;118.839;15.000;0.000;0.000;0.000;0.000;0.000;1550.000;771.000;2.9885;93.830;118.340;16.000;4.000;1.040;0.000;1.040;0.000;0.000;115.000;2.9828;93.892;118.355;13.000;2.000;0.068;0.000;0.068;0.000;249.000;192.000
1;0.6394;1.2359;0.7561;1.9105;1.7897;1.2073;1.4196;3.0084;76.774;101.447;12.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0572;76.481;101.554;11.000;0.000;0.000;0.000;0.000;0.000;1593.000;0.000;3.0580;76.354;101.434;10.000;4.000;1.535;0.000;1.535;0.000;0.000;0.000;3.0620;76.498;101.610;11.000;3.000;0.097;0.000;0.097;0.000;0.000;0.000
2;1.0212;1.5711;0.9309;0.7998;0.7350;0.6843;1.0364;2.8267;57.482;80.665;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9506;57.149;81.348;9.000;0.000;0.000;0.000;0.000;0.000;3530.000;0.000;2.8906;57.118;80.825;10.000;4.000;0.148;0.000;0.148;0.000;0.000;0.000;2.8906;57.118;80.825;10.000;4.000;0.148;0.000;0.148;0.000;0.000;0.000
3;0.9087;1.2538;0.5090;0.9301;0.8295;0.6556;1.1406;2.8093;60.548;83.589;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9055;60.133;83.962;10.000;0.000;0.000;0.000;0.000;0.000;5217.000;0.000;2.8316;60.106;83.329;11.000;4.000;1.509;0.000;1.509;0.000;0.000;0.000;2.8451;60.255;83.589;10.000;3.000;0.034;0.000;0.034;0.000;0.000;0.000
4;0.9142;0.7578;0.6684;1.6809;1.5104;1.1594;0.8068;2.9652;49.382;73.701;8.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0475;48.926;73.920;7.000;0.000;0.000;0.000;0.000;0.000;1938.000;0.000;3.0375;48.913;73.825;8.000;4.000;1.105;0.000;1.105;0.000;0.000;0.000;3.0408;49.020;73.959;7.000;1.000;0.009;0.000;0.009;0.000;113.000;0.000
5;1.8579;1.0918;0.9110;1.7422;0.7785;1.3122;0.7725;3.0073;51.956;76.620;11.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.1972;51.549;77.771;11.000;0.000;0.000;0.000;0.000;0.000;5080.000;804.000;3.1972;51.549;77.771;11.000;0.000;0.000;0.000;0.000;0.000;5080.000;804.000;3.0084;51.896;76.569;11.000;4.000;0.142;0.000;0.043;0.099;105.000;0.000
6;0.7185;1.3210;0.6858;0.9905;1.1173;0.6497;1.3779;2.8130;71.054;94.124;11.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9355;70.512;94.587;10.000;0.000;0.000;0.000;0.000;0.000;3515.000;0.000;2.8670;70.438;93.951;12.000;4.000;1.513;0.000;1.513;0.000;0.000;0.000;2.8796;70.563;94.180;11.000;3.000;0.064;0.000;0.064;0.000;0.000;0.000
7;1.0695;1.1835;0.8376;0.8953;0.9929;0.9592;1.2757;2.9064;69.809;93.645;12.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.0543;69.103;94.153;11.000;0.000;0.000;0.000;0.000;0.000;6690.000;0.000;2.9654;69.301;93.621;11.000;4.000;0.276;0.000;0.276;0.000;0.000;0.000;2.9711;69.335;93.702;11.000;4.000;0.061;0.000;0.061;0.000;0.000;0.000
8;1.1129;0.8904;0.5013;1.5032;1.0272;0.7863;0.9999;2.8355;55.592;78.847;9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.9147;55.218;79.122;9.000;0.000;0.000;0.000;0.000;0.000;3545.000;0.000;2.8774;55.223;78.822;10.000;4.000;1.036;0.000;1.036;0.000;0.000;0.000;2.8874;55.325;79.006;9.000;3.000;0.075;0.000;0.075;0.000;0.000;0.000
9;0.5692;1.7525;1.9717;0.5424;0.8216;1.3757;0.7730;3.0136;51.619;76.335;10.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.2716;51.020;77.852;10.000;0.000;0.000;0.000;0.000;0.000;6804.000;2081.000;3.2716;51.020;77.852;10.000;0.000;0.000;0.000;0.000;0.000;6804.000;2081.000;3.0310;51.575;76.434;10.000;6.000;0.183;0.000;0.147;0.036;0.000;0.000
