# RB2 min cout unifie (deg+clps) — dim FIXE — 25 ans — VoLL_TIERS=[(0.05, 2), (0.1, 5), (None, 10)]
# base=(0.475,0.33)
phase;coef_fc;coef_ely;LPSP_%;deg_kEUR;clps_kEUR;total_kEUR;vie_bat;vie_fc;vie_ely
2;0.450;0.330;2.4509;65.42;66.93;132.35;3.917808219178082;12.55011415525114;12.663356164383561
2;0.450;0.305;2.7923;58.24;76.09;134.33;3.9149543378995433;12.613127853881279;19.34360730593607
2;0.475;0.355;2.2085;74.94;60.30;135.24;3.928538812785388;12.553995433789954;8.388812785388128
1;0.475;0.330;2.7126;65.17;73.86;139.03;3.9465753424657533;12.628082191780821;12.649657534246575
2;0.450;0.355;2.3980;73.93;65.50;139.43;3.90662100456621;12.55011415525114;8.602625570776256
1;0.400;0.330;2.8742;65.13;78.52;143.65;3.884817351598173;12.674429223744292;12.939954337899543
2;0.475;0.305;3.1770;57.76;86.25;144.01;3.9422374429223743;12.723972602739726;19.817351598173516
2;0.500;0.355;2.5512;74.93;69.44;144.37;3.9643835616438357;12.573173515981734;8.191552511415525
1;0.475;0.400;2.1932;86.72;59.90;146.61;3.9284246575342463;12.553995433789954;5.804680365296804
2;0.500;0.330;3.0999;64.57;84.20;148.76;3.9713470319634703;12.644292237442922;12.723630136986301
1;0.400;0.250;3.5195;54.58;95.84;150.42;3.910958904109589;12.725342465753425;None
2;0.500;0.305;3.5447;57.29;95.58;152.87;3.9697488584474883;12.732191780821918;20.132648401826483
1;0.550;0.400;2.4518;90.91;66.70;157.61;4.031963470319635;12.648744292237442;5.158447488584475
1;0.400;0.400;2.8072;82.66;76.69;159.35;3.8626712328767123;12.674429223744292;6.596917808219178
1;0.550;0.500;1.6756;114.53;45.74;160.27;4.0231735159817354;12.53093607305936;3.4075342465753424
1;0.475;0.500;2.1193;106.59;57.87;164.46;3.916552511415525;12.553995433789954;3.9251141552511415
1;0.550;0.600;1.5831;123.42;43.23;166.65;4.012328767123288;12.53093607305936;3.0538812785388125
1;0.475;0.600;2.0134;113.57;54.97;168.53;3.905479452054794;12.553995433789954;3.5523972602739726
1;0.400;0.500;2.6755;97.68;73.09;170.77;3.842579908675799;12.674429223744292;4.6456621004566205
1;0.650;0.600;1.2712;136.99;34.60;171.59;4.261757990867579;5.551598173515981;2.5718036529680366
1;0.300;0.330;3.9389;64.57;107.55;172.12;3.820662100456621;12.626826484018265;13.592123287671232
1;0.300;0.250;4.2211;56.92;115.21;172.12;3.847716894977169;12.626826484018265;None
1;0.400;0.600;2.5703;104.94;70.21;175.16;3.8315068493150686;12.674429223744292;4.130707762557077
1;0.300;0.400;3.8366;77.03;104.76;181.79;3.809703196347032;12.626826484018265;8.075913242009133
1;0.300;0.500;3.6818;86.69;100.53;187.22;3.7886986301369863;12.626826484018265;6.141552511415525
1;0.300;0.600;3.5012;92.51;95.59;188.09;3.775;12.626826484018265;5.357990867579908
1;0.650;0.500;2.4825;123.98;67.09;191.06;4.254794520547945;5.669520547945205;2.9689497716894975
1;0.550;0.330;4.7788;63.69;128.87;192.56;4.016552511415525;13.129566210045661;12.800228310502282
1;0.300;0.150;5.1026;55.05;138.56;193.61;3.8353881278538813;12.804794520547945;None
1;0.475;0.250;5.2898;53.55;142.17;195.72;3.954794520547945;13.221461187214611;None
1;0.200;0.600;5.0759;78.31;138.67;216.99;3.7302511415525115;12.711757990867579;8.010045662100456
1;0.200;0.330;5.6289;63.55;153.74;217.29;3.774200913242009;12.711757990867579;14.975228310502283
1;0.200;0.500;5.2213;77.04;142.64;219.68;3.7394977168949772;12.711757990867579;8.325228310502283
1;0.200;0.250;5.8832;59.08;160.71;219.79;3.7916666666666665;12.711757990867579;22.21712328767123
1;0.200;0.400;5.4330;71.61;148.40;220.01;3.7614155251141552;12.711757990867579;9.93972602739726
1;0.200;0.150;6.0650;57.95;165.66;223.61;3.7904109589041095;12.711757990867579;24.96244292237443
1;0.475;0.150;7.0485;54.82;183.42;238.24;3.8424657534246576;13.628196347031963;None
1;0.550;0.250;6.9815;53.03;186.22;239.25;3.982420091324201;13.884360730593606;None
1;0.650;0.400;5.8498;93.16;157.70;250.86;4.205593607305936;6.063356164383562;4.988470319634703
1;0.400;0.150;7.4199;54.72;197.84;252.57;3.853538812785388;13.628196347031963;None
1;0.650;0.330;7.7451;64.88;207.86;272.74;4.123401826484018;6.340296803652968;12.805593607305935
1;0.550;0.150;8.8325;54.63;230.15;284.78;3.8493150684931505;13.596118721461186;None
1;0.650;0.250;11.1874;54.00;301.45;355.46;4.128538812785388;6.564383561643836;None
1;0.650;0.150;11.3697;55.85;299.88;355.73;3.8972602739726026;6.945319634703196;None
